"Theta [deg]","GainTotal [] - Freq='0.062GHz' Phi='0deg'"
-89,0.00385303883178072
-88,0.0135744031308357
-87,0.0297389744904566
-86,0.0522919140472275
-85,0.0811571246713257
-84,0.116237915474355
-83,0.157417839662381
-82,0.204561693736216
-81,0.257516663791819
-80,0.316113602663768
-79,0.380168419918256
-78,0.449483565268032
-77,0.523849584874511
-76,0.603046729240316
-75,0.686846590991394
-74,0.775013750807754
-73,0.867307410085544
-72,0.963482989593779
-71,1.06329367441312
-70,1.16649188679197
-69,1.27283067020084
-68,1.382064969778
-67,1.49395279650104
-66,1.60825626474899
-65,1.72474249539303
-64,1.84318437912296
-63,1.96336119733096
-62,2.08505910048407
-61,2.20807144647014
-60,2.33219900385025
-59,2.45725002724529
-58,2.58304021418218
-57,2.70939255458482
-56,2.83613708568191
-55,2.96311056638914
-54,3.0901560861831
-53,3.21712262410451
-52,3.3438645737994
-51,3.47024125042916
-50,3.59611639486099
-49,3.72135768980362
-48,3.84583630150231
-47,3.96942645928041
-46,4.09200508364743
-45,4.21345147192643
-44,4.33364704843092
-43,4.45247518419184
-42,4.56982108914815
-41,4.68557177762175
-40,4.79961610584855
-39,4.91184487838141
-38,5.02215101836363
-37,5.13042979503363
-36,5.23657910040045
-35,5.34049976585368
-34,5.44209590856516
-33,5.5412752969173
-32,5.63794972386271
-31,5.73203537708168
-30,5.82345319504938
-29,5.91212919863948
-28,5.99799478865156
-27,6.08098700063057
-26,6.16104870951308
-25,6.23812877795249
-24,6.31218214360381
-23,6.38316984214885
-22,6.45105896437401
-21,6.51582254713695
-20,6.57743939953805
-19,6.63589386701514
-18,6.69117553737504
-17,6.7432788939385
-16,6.79220292198674
-15,6.83795067554176
-14,6.88052881218065
-13,6.91994710406991
-12,6.95621793371118
-11,6.98935578301597
-10,7.01937672428455
-9,7.04629792146104
-8,7.07013714968792
-7,7.090912340702
-6,7.10864116101685
-5,7.12334062914025
-4,7.13502677729575
-3,7.14371436227106
-2,7.14941662912
-1,7.15214513051156
0,7.15190960356695
1,7.1487179050636
2,7.14257600492917
3,7.13348803700857
4,7.12145640517585
5,7.10648194199007
6,7.08856411627104
7,7.06770128520765
8,7.04389098591734
9,7.01713026076153
10,6.98741601019694
11,6.95474536651673
12,6.91911608151751
13,6.8805269209257
14,6.83897805833825
15,6.79447146148292
16,6.74701126378762
17,6.696604114568
18,6.64325950159878
19,6.58699004042295
20,6.52781172546967
21,6.46574413888682
22,6.40081061393579
23,6.33303835082903
24,6.26245848399705
25,6.18910610092883
26,6.11302021391536
27,6.03424368721378
28,5.9528231233124
29,5.86880871308709
30,5.78225405566851
31,5.69321595476114
32,5.60175419894265
33,5.50793133410214
34,5.41181243662853
35,5.31346489621783
36,5.21295821721828
37,5.11036384726544
38,5.00575504157405
39,4.89920677064847
40,4.79079567835721
41,4.6806000962999
42,4.56870011919326
43,4.4551777446362
44,4.3401170791094
45,4.22360461044701
46,4.10572954532162
47,3.98658420854015
48,3.86626449919429
49,3.74487039698167
50,3.62250651034998
51,3.49928265655378
52,3.37531446228912
53,3.25072397231874
54,3.12564025245468
55,3.00019997245325
56,2.87454795382688
57,2.74883766730885
58,2.62323166473656
59,2.49790193045679
60,2.3730301380071
61,2.24880779878719
62,2.12543629069414
63,2.00312675623885
64,1.88209986146454
65,1.76258540902178
66,1.64482180098297
67,1.52905534936126
68,1.41553943478943
69,1.30453351636619
70,1.19630199823921
71,1.09111296101671
72,0.989236768532186
73,0.890944562782159
74,0.796506661969823
75,0.706190878477946
76,0.620260775226803
77,0.538973880217847
78,0.46257988009792
79,0.391318814285615
80,0.325419291570753
81,0.265096751126411
82,0.210551789563347
83,0.1619685750174
84,0.119513368305423
85,0.0833331699327651
86,0.0535545102079021
87,0.0302823979431098
88,0.0135994412227745
89,0.00356515153380217
