"Theta [deg]","GainTotal [] - Freq='0.085GHz' Phi='90deg'"
-89,0.00225611186821665
-88,0.00245840192380353
-87,0.00281875131649518
-86,0.0033718369227621
-85,0.00416593666045247
-84,0.00526268837377182
-83,0.00673681633747944
-82,0.00867584727931643
-81,0.0111798370814636
-80,0.0143611258657774
-79,0.0183441330344567
-78,0.0232651952799043
-77,0.0292724400526025
-76,0.0365256751288642
-75,0.0451962625532992
-74,0.055466933261299
-73,0.0675314880967552
-72,0.0815943227169478
-71,0.0978697089482505
-70,0.116580764325036
-69,0.137958045420052
-68,0.162237709515405
-67,0.189659203224608
-66,0.220462455575821
-65,0.254884576168985
-64,0.293156085344008
-63,0.335496731550005
-62,0.382110979740569
-61,0.43318328192269
-60,0.488873265179165
-59,0.549310991844345
-58,0.614592459500043
-57,0.68477551383364
-56,0.759876344334148
-55,0.839866720954571
-54,0.924672109440942
-53,1.01417077476962
-52,1.108193947313
-51,1.20652708668386
-50,1.30891223574194
-49,1.41505141423888
-48,1.52461096033436
-47,1.63722669093912
-46,1.75250972047749
-45,1.87005275378433
-44,1.98943665355511
-43,2.11023707661756
-42,2.23203097630613
-41,2.35440277988618
-40,2.47695006932008
-39,2.59928861934325
-38,2.72105667720935
-37,2.8419184018119
-36,2.96156641441034
-35,3.07972344718409
-34,3.19614310779331
-33,3.31060980677391
-32,3.42293791897437
-31,3.53297026970818
-30,3.64057605052316
-29,3.74564827844911
-28,3.84810091650374
-27,3.94786577255187
-26,4.04488928891253
-25,4.13912932708332
-24,4.23055204133781
-23,4.31912892248877
-22,4.40483407950395
-21,4.48764181255229
-20,4.56752451700904
-19,4.64445094442365
-18,4.71838483382721
-17,4.78928391530104
-16,4.85709927763294
-15,4.92177508326048
-14,4.98324860658029
-13,5.04145056607059
-12,5.09630571646693
-11,5.14773366434894
-10,5.19564986881498
-9,5.2399667883011
-8,5.28059513489356
-7,5.31744519854064
-6,5.35042820524569
-5,5.37945767548589
-4,5.40445075162811
-3,5.42532946590303
-2,5.44202192346376
-1,5.45446337813251
0,5.46259718158047
1,5.46637558986431
2,5.46576041444755
3,5.46072350806541
4,5.45124707906142
5,5.43732383114786
6,5.41895692893769
7,5.39615979307645
8,5.36895573237297
9,5.33737742397854
10,5.30146625637259
11,5.26127155363362
12,5.21684970314491
13,5.16826321242053
14,5.11557972403584
15,5.05887102058735
16,4.99821205405571
17,4.93368003576154
18,4.86535362414014
19,4.79331224767414
20,4.71763559938023
21,4.6384033371253
22,4.55569502065278
23,4.46959031146113
24,4.3801694555582
25,4.287514061624
26,4.1917081783034
27,4.09283966432888
28,3.99100183410902
29,3.88629534954895
30,3.77883031649968
31,3.6687285317479
32,3.55612581430859
33,3.44117434349533
34,3.32404491639475
35,3.20492902958297
36,3.08404068482417
37,2.96161781669736
38,2.83792324215969
39,2.71324503841939
40,2.58789626645393
41,2.46221397316296
42,2.33655742534674
43,2.21130555303296
44,2.08685360743672
45,1.96360906904644
46,1.84198687274166
47,1.7224040480164
48,1.60527390171602
49,1.49099989655538
50,1.37996939948579
51,1.27254748829218
52,1.16907101147494
53,1.06984309471531
54,0.975128276696423
55,0.885148437908136
56,0.800079658971105
57,0.720050111139529
58,0.645139042588741
59,0.575376881822528
60,0.510746436238852
61,0.45118512186118
62,0.3965881217135
63,0.346812337327562
64,0.301680972123361
65,0.26098856815167
66,0.22450630965472
67,0.191987408237595
68,0.163172394722319
69,0.137794161014147
70,0.115582620118625
71,0.0962688820280804
72,0.0795888755443888
73,0.0652863791398132
74,0.0531154556662997
75,0.0428423142970195
76,0.0342466470357397
77,0.0271225053846869
78,0.0212787947120111
79,0.0165394693834222
80,0.0127435111633455
81,0.00974476750648022
82,0.00741171623871857
83,0.00562721008042672
84,0.0042882399167111
85,0.00330574107746802
86,0.00260445343674076
87,0.00212283493186852
88,0.00181301989076782
89,0.00164080874108219
