"Freq [MHz]","dB(S(1,1)) []"
100,-8.11341682980751
102,-9.16669145137552
104,-10.2933819080344
106,-11.4669031018331
108,-12.6343795902212
110,-13.7039545199208
112,-14.5444674217388
114,-15.0227975981638
116,-15.0787510247609
118,-14.7679687402209
120,-14.2182909904556
122,-13.5552159659226
124,-12.864971021449
126,-12.1953014420956
128,-11.56828444337
130,-10.9915694929265
132,-10.465489190726
134,-9.98693132523359
136,-9.55174167763496
138,-9.15503444478404
140,-8.79238012135543
142,-8.45965288575792
144,-8.15319159369533
146,-7.86969404303502
148,-7.60639912478713
150,-7.36084477246619
152,-7.13090861789041
154,-6.9149028951505
156,-6.7108395630492
158,-6.51748224408889
160,-6.33439759544696
162,-6.15968324643911
164,-5.9928313285432
166,-5.83301783379799
168,-5.67964604164433
170,-5.53216171665891
172,-5.39013199081375
174,-5.25316284847046
176,-5.12080942882143
178,-4.99306803222188
180,-4.86952631165465
182,-4.74983427529182
184,-4.63390267159055
186,-4.52169638578512
188,-4.4129983956538
190,-4.30772499922566
192,-4.20579199803224
194,-4.10710041640017
196,-4.01159472193448
198,-3.91924552600149
200,-3.82997902240937
