"Freq [MHz]","dB(S(1,1)) []"
100,-8.09515943863446
102,-9.31184980383437
104,-10.6492902421006
106,-12.0714900807166
108,-13.4833181512307
110,-14.6905038455079
112,-15.415226254051
114,-15.468332158723
116,-14.936925169408
118,-14.0863540025553
120,-13.144100147975
122,-12.2322066826332
124,-11.3987722376238
126,-10.6553854368759
128,-9.99849595595978
130,-9.41930288878469
132,-8.90791967788732
134,-8.45498976402749
136,-8.05221822199417
138,-7.69245972035366
140,-7.36963744460142
142,-7.07860904692667
144,-6.8150271104547
146,-6.57521199794756
148,-6.35604231402136
150,-6.15486302746999
152,-5.96940938259974
154,-5.79774421984675
156,-5.63820638541564
158,-5.4893681716783
160,-5.35000001177744
162,-5.21904088634317
164,-5.0955730938629
166,-4.97880028091773
168,-4.86802826119859
170,-4.76264928493737
172,-4.66213121242049
174,-4.56601151319394
176,-4.47389266542058
178,-4.38543507461281
180,-4.30034751641749
182,-4.21837798609764
184,-4.13930687045137
186,-4.06294235533321
188,-3.98911721850494
190,-3.91768633149246
192,-3.84852454136151
194,-3.78152481080049
196,-3.71659657005068
198,-3.65366425582611
200,-3.59266600866164
