"Freq [MHz]","dB(S(1,1)) []"
100,-7.96630970462191
102,-9.10886191640522
104,-10.3750142158113
106,-11.756075253272
108,-13.2148107563917
110,-14.6522769663783
112,-15.865772775941
114,-16.568427805185
116,-16.5757999259305
118,-15.994207812136
120,-15.1017420479278
122,-14.1263733465862
124,-13.1865818573775
126,-12.3275638539225
128,-11.5592942665067
130,-10.8774702259597
132,-10.2729979813248
134,-9.73592057576492
136,-9.25691026922513
138,-8.82773963919096
140,-8.44134112116515
142,-8.09171351997758
144,-7.77378335436514
146,-7.48326440188862
148,-7.21653121833629
150,-6.97051083644422
152,-6.74259217368793
154,-6.53055106368525
156,-6.33248841992276
158,-6.14677924159515
160,-5.97203042755138
162,-5.80704575273081
164,-5.65079668394272
166,-5.50239786370227
168,-5.36108643180042
170,-5.22620447236059
172,-5.0971841090461
174,-4.97353484902746
176,-4.85483278754466
178,-4.74071137157241
180,-4.63085352344206
182,-4.52498490336277
184,-4.42286817137483
186,-4.32429813782911
188,-4.22909761212953
190,-4.13711392216138
192,-4.04821595640989
194,-3.96229165328787
196,-3.87924587015277
198,-3.79899853405085
200,-3.72148303013153
