"Freq [MHz]","dB(S(1,1)) []"
100,-5.98740995945819
102,-6.4974725324802
104,-7.01106241682677
106,-7.5247923312107
108,-8.0360800281199
110,-8.54331067881885
112,-9.04593314799311
114,-9.54448806787873
116,-10.0405752535089
118,-10.5367747653975
120,-11.0365403484972
122,-11.5440844801426
124,-12.0642714925048
126,-12.6025294083959
128,-13.164782760037
130,-13.7573980866348
132,-14.3871163188256
134,-15.0609180689076
136,-15.7857126577875
138,-16.5676339492925
140,-17.4105124401788
142,-18.3126919279257
144,-19.2607099094101
146,-20.2177747589596
148,-21.1064746579096
150,-21.7948513280882
152,-22.1170342292065
154,-21.9583817189892
156,-21.3450999588063
158,-20.4222229726159
160,-19.3514044705144
162,-18.2470645322697
164,-17.1720595383881
166,-16.1549146368663
168,-15.2054634246531
170,-14.3244308004472
172,-13.5085135679592
174,-12.7528953690452
176,-12.0524340354766
178,-11.4021897125076
180,-10.7976331015517
182,-10.2347023181283
184,-9.70979125705211
186,-9.21970988823804
188,-8.76163590930297
190,-8.33306668621698
192,-7.93177532662727
194,-7.55577215764168
196,-7.20327167178196
198,-6.87266453736522
200,-6.56249401500377
