"Freq [MHz]","dB(S(1,1)) []"
100,-10.4574125896705
102,-11.8706309714128
104,-13.3078154463807
106,-14.6008075546922
108,-15.4763423900902
110,-15.6896752997394
112,-15.2545970677717
114,-14.4241391681727
116,-13.4559593324496
118,-12.4995215307219
120,-11.6173683028323
122,-10.8262872445658
124,-10.1251615369497
126,-9.50530158304319
128,-8.95656236483239
130,-8.46916735028178
132,-8.03440949123651
134,-7.64477212382912
136,-7.29387029047187
138,-6.97634006989727
140,-6.68754454882781
142,-6.42376582643366
144,-6.18164012544636
146,-5.95851348516772
148,-5.75202778888671
150,-5.56019489585558
152,-5.38135283120886
154,-5.21399157723812
156,-5.05683535543618
158,-4.90871363846808
160,-4.7686419634779
162,-4.63582912477692
164,-4.50964262419093
166,-4.38952627538539
168,-4.27499364965477
170,-4.16561359704054
172,-4.06102683427391
174,-3.96082339937221
176,-3.86479577742926
178,-3.7726633508414
180,-3.68420914908235
182,-3.59924228271093
184,-3.51761796753145
186,-3.43916863441437
188,-3.36376596551666
190,-3.29136337040718
192,-3.2218328907273
194,-3.15511632082983
196,-3.09115532186219
198,-3.02990832922522
200,-2.97133942972484
