"Freq [MHz]","dB(S(1,1)) []"
100,-5.27513231797317
102,-6.04889608880651
104,-6.92630734489722
106,-7.92216952068173
108,-9.05600596240188
110,-10.3549959186362
112,-11.8591430227351
114,-13.6310447902117
116,-15.7762870874043
118,-18.4922727952348
120,-22.2105091661179
122,-28.1454429588839
124,-36.930013619907
126,-28.1815385465659
128,-22.9973875726588
130,-19.8876355984254
132,-17.7245146897467
134,-16.0965948077181
136,-14.8111520198718
138,-13.7626884723595
140,-12.8871840988253
142,-12.14285405118
144,-11.5009133438465
146,-10.9406936040707
148,-10.446862053405
150,-10.0077418075489
152,-9.61424773884833
154,-9.25918508499797
156,-8.93677147982108
158,-8.64230178361553
160,-8.37190718538941
162,-8.12237826024982
164,-7.891032467951
166,-7.67561322657922
168,-7.47421181722761
170,-7.2852060877939
172,-7.10721171825006
174,-6.93904305769516
176,-6.77968138171347
178,-6.62824903828686
180,-6.48398823477672
182,-6.34624345141008
184,-6.21444660691707
186,-6.08810449929361
188,-5.96678814867458
190,-5.85012380039552
192,-5.73778533438167
194,-5.6294878143053
196,-5.52498198067576
198,-5.42404951922587
200,-5.32649895583723
