"Freq [MHz]","dB(S(1,1)) []"
100,-9.08857548287464
102,-10.1287044096678
104,-11.226094558153
106,-12.361252607401
108,-13.4982265014891
110,-14.5763957246894
112,-15.5062230942849
114,-16.1816652411742
116,-16.5194030073127
118,-16.5053820703657
120,-16.2027393808609
122,-15.7119015582659
124,-15.1253833748487
126,-14.5079657233329
128,-13.897749732018
130,-13.3141634757586
132,-12.7653955933102
134,-12.2534510121804
136,-11.7771786798181
138,-11.333972918052
140,-10.9206923965073
142,-10.5341388231952
144,-10.1712938452965
146,-9.82942519945121
148,-9.50612244049098
150,-9.1992922101489
152,-8.90712400519679
154,-8.6280354943252
156,-8.36063521908499
158,-8.10374515867052
160,-7.85643052230877
162,-7.61796143444359
164,-7.38774603409759
166,-7.16528955051177
168,-6.9501768490815
170,-6.74206227636468
172,-6.54066014702521
174,-6.34573516783615
176,-6.15709338231099
178,-5.97457405487151
180,-5.79804267681712
182,-5.62738510050673
184,-5.46250271804777
186,-5.30330858588045
188,-5.14972433901581
190,-5.00167780362709
192,-4.85910114572401
194,-4.72192946590089
196,-4.59009971189564
198,-4.46354981673361
200,-4.34221797599291
