"Freq [MHz]","dB(S(1,1)) []"
100,-8.76292358735093
102,-10.0269187680447
104,-11.4135880065793
106,-12.8881297035992
108,-14.3536378120798
110,-15.6048445857249
112,-16.3413706988662
114,-16.3612580794976
116,-15.7706282899168
118,-14.8615137565748
120,-13.8719296085333
122,-12.9232583038601
124,-12.060343970267
126,-11.2920550965745
128,-10.6130589729423
130,-10.0134704596012
132,-9.48275733529865
134,-9.01117854756527
136,-8.59020817398249
138,-8.2125604038127
140,-7.8720719690167
142,-7.56354693033678
144,-7.28260480229046
146,-7.02554616687724
148,-6.78923883507594
150,-6.57102337587609
152,-6.36863541849423
154,-6.18014190385308
156,-6.00388876383759
158,-5.83845785054951
160,-5.68263129401426
162,-5.53536181549433
164,-5.39574770125942
166,-5.26301157682879
168,-5.13648251959962
170,-5.0155812537988
172,-4.89980775406453
174,-4.78873052922433
176,-4.68197721346953
178,-4.57922646034793
180,-4.48020097455822
182,-4.38466162075378
184,-4.29240240370512
186,-4.20324622094774
188,-4.1170412591298
190,-4.03365793892047
192,-3.95298633251673
194,-3.87493395633921
196,-3.79942388595721
198,-3.726393113689
200,-3.6557910924269
