"Freq [MHz]","dB(S(1,1)) []"
100,-11.307349098237
102,-11.5625494841599
104,-11.7049541217329
106,-11.760288590696
108,-11.7562332485444
110,-11.7177399172713
112,-11.6648441240191
114,-11.6123685277871
116,-11.57061075014
118,-11.5463384913074
120,-11.5437330942533
122,-11.5651466108116
124,-11.6116535598993
126,-11.683424207267
128,-11.7799565132273
130,-11.9001997570363
132,-12.0425950374272
134,-12.2050504436661
136,-12.3848637118499
138,-12.5786032792073
140,-12.7819606203262
142,-12.9895933178273
144,-13.1949901624636
146,-13.3904059706521
148,-13.5669311829987
150,-13.7147708701159
152,-13.8237950554624
154,-13.8843718504527
156,-13.8884027948002
158,-13.8303701047122
160,-13.7081336655578
162,-13.5232408794676
164,-13.2806485697508
166,-12.9879442524165
168,-12.6542976368612
170,-12.2894075520353
172,-11.9026426121839
174,-11.5024641581702
176,-11.0961252109044
178,-10.6895858732973
180,-10.287571170336
182,-9.89370640747622
184,-9.51068301882652
186,-9.14042552412021
188,-8.78424386155826
190,-8.44296446021422
192,-8.11703880741219
194,-7.80663105350928
196,-7.51168739671251
198,-7.23199028649886
200,-6.96720030667494
