"Freq [MHz]","dB(S(1,1)) []"
100,-8.20281119250374
102,-9.14094339334114
104,-10.0374303201662
106,-10.8268970352963
108,-11.439517777648
110,-11.8225483411696
112,-11.9623310462597
114,-11.889179394119
116,-11.6607012762831
118,-11.3383116217479
120,-10.9720472329714
122,-10.5963804170415
124,-10.2323249662977
126,-9.89129427461915
128,-9.57854067092059
130,-9.29562623741439
132,-9.04202666610757
134,-8.81611549748811
136,-8.61574642238031
138,-8.43858725602078
140,-8.28230472398862
142,-8.14466122491655
144,-8.02356056830905
146,-7.91706472888315
148,-7.82339468276803
150,-7.74092299972523
152,-7.66816264696858
154,-7.60375454590885
156,-7.54645529387975
158,-7.49512578665399
160,-7.44872108760624
162,-7.40628165539052
164,-7.36692592410066
166,-7.3298441522149
168,-7.29429342572733
170,-7.25959368340518
172,-7.22512462608177
174,-7.1903233729165
176,-7.15468273217622
178,-7.1177499549666
180,-7.07912584886695
182,-7.0384641209465
184,-6.99547082487204
186,-6.94990377019286
188,-6.9015717745542
190,-6.8503336488717
192,-6.79609685459377
194,-6.73881579564457
196,-6.6784897304442
198,-6.6151602999535
200,-6.54890868354805
