"Freq [MHz]","dB(S(1,1)) []"
100,-7.73494477579258
102,-8.89929492480443
104,-10.206387338379
106,-11.6541043340859
108,-13.2108653052947
110,-14.7727918924928
112,-16.0982330764849
114,-16.8175162626193
116,-16.7027894916499
118,-15.9333213225949
120,-14.8749959729912
122,-13.7824495127482
124,-12.7665914614857
126,-11.8596422086109
128,-11.0616647350781
130,-10.3619231643156
132,-9.74730691432729
134,-9.20534395578359
136,-8.72510339333884
138,-8.29731240017675
140,-7.91420552825162
142,-7.56930506267559
144,-7.25720516745335
146,-6.97338311025948
148,-6.71404187233331
150,-6.47598168001364
152,-6.25649606952531
154,-6.05328800151102
156,-5.86440199693963
158,-5.68816870492261
160,-5.52315844056356
162,-5.36814040836967
164,-5.22204630259071
166,-5.08394227046689
168,-4.95301514356077
170,-4.82856743559472
172,-4.71000656333119
174,-4.59682591356589
176,-4.48858677840859
178,-4.38490596634735
180,-4.28544778495826
182,-4.18991816366258
184,-4.09805976144905
186,-4.00964768725166
188,-3.92448574677214
190,-3.84243847503131
192,-3.76325186632957
194,-3.68690390458755
196,-3.61324957703829
198,-3.54223625306724
200,-3.47366341242396
