"Freq [MHz]","dB(S(1,1)) []"
100,-7.21312520110357
102,-8.28523410309566
104,-9.49966814753518
106,-10.8725492804138
108,-12.4162584753664
110,-14.1241945058954
112,-15.9265525324724
114,-17.5895015258626
116,-18.6246742209771
118,-18.588089748163
120,-17.657726695148
122,-16.3714164189283
124,-15.080280042882
126,-13.9114017915021
128,-12.888526486803
130,-12.0010979554681
132,-11.2303182351544
134,-10.5575749563515
136,-9.96672177486415
138,-9.44435769544058
140,-8.97952101152816
142,-8.56326781625415
144,-8.18828081719585
146,-7.84854400437035
148,-7.53908293441622
150,-7.25576052893738
152,-6.99511707075442
154,-6.75424458308158
156,-6.53068773354011
158,-6.3223651447261
160,-6.12750634375215
162,-5.94460036181726
164,-5.77235281936143
166,-5.60965026163636
168,-5.45553235955616
170,-5.30917082591096
172,-5.16985145871606
174,-5.03695749662931
176,-4.90995490773097
178,-4.7883801361577
180,-4.67182998076865
182,-4.55995320307763
184,-4.45244346573242
186,-4.34903337503026
188,-4.2494894453746
190,-4.1536078407448
192,-4.0612107680612
194,-3.9721434254342
196,-3.88627139892809
198,-3.8034784223189
200,-3.72366444189146
