"Freq [MHz]","dB(S(1,1)) []"
100,-7.67311710339325
102,-8.8467687844889
104,-10.151654101028
106,-11.5700922680608
108,-13.0426889869477
110,-14.4266114190822
112,-15.4644409717358
114,-15.8741379077249
116,-15.5917729656866
118,-14.8388833290663
120,-13.8961524216815
122,-12.9420609815908
124,-12.0554792661725
126,-11.2607882937339
128,-10.5587011105801
130,-9.94120944552101
132,-9.3979562210186
134,-8.91876390575316
136,-8.49437490228834
138,-8.11713957956324
140,-7.78000855342233
142,-7.47751431356179
144,-7.2047229673881
146,-6.95760932040341
148,-6.73275214802486
150,-6.52722255928747
152,-6.33856229086179
154,-6.16462134834734
156,-6.00359046011346
158,-5.85390284005373
160,-5.71421139136354
162,-5.58334998393864
164,-5.46031315600149
166,-5.3442262577248
168,-5.23433260957715
170,-5.12997245220305
172,-5.03057400587497
174,-4.93563958963886
176,-4.84472924289818
178,-4.75747884052697
180,-4.67353930547058
182,-4.59264014111222
184,-4.51452241475603
186,-4.43900073131834
188,-4.36579438101625
190,-4.29480301846807
192,-4.22594471570042
194,-4.15900733381646
196,-4.09391928697828
198,-4.03059577321266
200,-3.96896331627136
