"Freq [MHz]","dB(S(1,1)) []"
100,-7.65757416626773
102,-9.29700520784567
104,-11.2158645449627
106,-13.2267451801007
108,-14.6585020397998
110,-14.5845046647895
112,-13.2299431708204
114,-11.5504287200781
116,-10.0218795986954
118,-8.74100535238743
120,-7.68848850574862
122,-6.82375661025519
124,-6.10898586880853
126,-5.51346725818472
128,-5.01319042005875
130,-4.58953608637973
132,-4.22803394155548
134,-3.91737012031616
136,-3.6486341718254
138,-3.4147568301217
140,-3.21009165232878
142,-3.03010352892201
144,-2.87113683532176
146,-2.73024377300531
148,-2.60505911415551
150,-2.49371096164672
152,-2.39475712057159
154,-2.30712968664421
156,-2.23004960464418
158,-2.1628342003571
160,-2.10450008518377
162,-2.05321577201389
164,-2.00614184929532
166,-1.96040787179054
168,-1.91468614394046
170,-1.86956107363896
172,-1.82645665760745
174,-1.78658411361582
176,-1.75063051285477
178,-1.71888985248341
180,-1.69146778506198
182,-1.66842782207849
184,-1.64987469807479
186,-1.63599769501571
188,-1.62709005951574
190,-1.62354856670634
192,-1.62584497328049
194,-1.63444725014969
196,-1.64965279404714
198,-1.67128572250827
200,-1.69823176229339
