"Freq [MHz]","dB(S(1,1)) []"
100,-7.63857411076342
102,-8.76799358249291
104,-10.0345480235831
106,-11.4395048154893
108,-12.9620375785643
110,-14.5253658212921
112,-15.9370458440641
114,-16.8600391734083
116,-16.9940680885477
118,-16.39515411829
120,-15.4029173267803
122,-14.3128687077127
124,-13.2722667861656
126,-12.3318462036999
128,-11.499405643701
130,-10.7670570816167
132,-10.1225250392848
134,-9.55338913684953
136,-9.04849182391667
138,-8.59825867046458
140,-8.19462650927387
142,-7.83085133136817
144,-7.50129916560435
146,-7.20125600092214
148,-6.92676641129678
150,-6.67450057596686
152,-6.4416459746206
154,-6.22581612478972
156,-6.02499174728312
158,-5.83742536317566
160,-5.66161453851842
162,-5.49623708725588
164,-5.34013932041414
166,-5.19235151747801
168,-5.05218558595867
170,-4.91863081174236
172,-4.79148213636708
174,-4.67004257338905
176,-4.55395201157969
178,-4.44270351758453
180,-4.33603123422563
182,-4.23359930613836
184,-4.13516286150406
186,-4.04042263375656
188,-3.94924047841606
190,-3.86141680092411
192,-3.77679998863932
194,-3.69525649826485
196,-3.61666718304073
198,-3.54094265104013
200,-3.46798854287845
