"Freq [MHz]","dB(S(1,1)) []"
100,-7.78148983082091
102,-8.94880941398
104,-10.2445832339405
106,-11.6516915704232
108,-13.1124714506769
110,-14.4879964939468
112,-15.5264367043626
114,-15.9469531311656
116,-15.6769776694508
118,-14.928921951656
120,-13.9823448378365
122,-13.0186608545777
124,-12.1194375926601
126,-11.310665347011
128,-10.5938997450958
130,-9.96155702210497
132,-9.4034960244312
134,-8.90963174488575
136,-8.47085844745946
138,-8.07927944954744
140,-7.72816748843332
142,-7.41183337626267
144,-7.12547569130868
146,-6.86503951268277
148,-6.62709328021977
150,-6.40872507687769
152,-6.20745667577509
154,-6.021172797946
156,-5.84806297907073
158,-5.68657370480522
160,-5.53536880822449
162,-5.39329644833563
164,-5.25936131857792
166,-5.13270117841557
168,-5.01256744757355
170,-4.89831002648592
172,-4.78936572862867
174,-4.6852481539084
176,-4.58553715338324
178,-4.48986841089111
180,-4.39792468002065
182,-4.30942911511378
184,-4.22414014992349
186,-4.14184731880285
188,-4.06236768801552
190,-3.98554276937719
192,-3.91123585575195
194,-3.83932972634664
196,-3.76972467488023
198,-3.70233680715392
200,-3.6370965535852
