"Freq [MHz]","dB(S(1,1)) []"
100,-7.96439790691227
102,-9.0977389491017
104,-10.3504252373464
106,-11.712385144478
108,-13.145325416095
110,-14.5519853168695
112,-15.7383410896221
114,-16.4349551110685
116,-16.4671325510353
118,-15.9275459967736
120,-15.0749098745063
122,-14.1290632487386
124,-13.2094981264255
126,-12.3638519748458
128,-11.6043964149421
130,-10.9283674261087
132,-10.3276821063441
134,-9.79302976016717
136,-9.31548270324232
138,-8.8870973329751
140,-8.50098346671142
142,-8.1512641628585
144,-7.83295258832682
146,-7.54182644408981
148,-7.27429852878808
150,-7.02733627680231
152,-6.79835596949954
154,-6.58517138559313
156,-6.38583647152489
158,-6.19880601476984
160,-6.02266781050068
162,-5.85622148737927
164,-5.69845159412356
166,-5.54846430017843
168,-5.40549388686165
170,-5.26891483185648
172,-5.13816845196917
174,-5.01277956785554
176,-4.89232407591057
178,-4.77644795098633
180,-4.66483812069237
182,-4.55722743064922
184,-4.45337396436398
186,-4.3530844586535
188,-4.25618759391408
190,-4.16254172446006
192,-4.07199072066148
194,-3.98446056261832
196,-3.89984505042855
198,-3.81807256969695
200,-3.73907975021173
