"Freq [MHz]","dB(S(1,1)) []"
100,-9.49405320151755
102,-10.8132816583723
104,-12.1557314814202
106,-13.3820209310425
108,-14.2724172715268
110,-14.6155527074397
112,-14.3785463440622
114,-13.7358630294722
116,-12.9103778027061
118,-12.0550222241191
120,-11.245320720987
122,-10.5095145065751
124,-9.85292657203104
126,-9.27123354750385
128,-8.75673056181642
130,-8.30107449458855
132,-7.89639548672208
134,-7.53568044871003
136,-7.21284291738847
138,-6.92266625289939
140,-6.66070345856839
142,-6.42316972547164
144,-6.20684233862537
146,-6.00897291190029
148,-5.82721268517314
150,-5.65954988834456
152,-5.50425759518264
154,-5.35985040981872
156,-5.22504844579297
158,-5.09874721940155
160,-4.97999222181948
162,-4.86795702926332
164,-4.76192400188325
166,-4.66126714416651
168,-4.56543781655997
170,-4.4739549121878
172,-4.38639990106424
174,-4.30241372309898
176,-4.22169134510996
178,-4.14397328551723
180,-4.06903682669458
182,-3.99668921719139
184,-3.92676313479101
186,-3.85911364997953
188,-3.79361596783177
190,-3.73016356618724
192,-3.66866656973394
194,-3.60905031143572
196,-3.55125405360512
198,-3.49522984429141
200,-3.44094148083244
