"Freq [MHz]","dB(S(1,1)) []"
100,-7.28367084492356
102,-8.34078248259988
104,-9.53061196765897
106,-10.8647599876344
108,-12.3484956838221
110,-13.9649393142339
112,-15.6348990495361
114,-17.1391494255773
116,-18.0738011473538
118,-18.0949569646999
120,-17.3258943776019
122,-16.1905533721814
124,-15.0037448785462
126,-13.9006107213382
128,-12.9182325365056
130,-12.0555381799373
132,-11.2995868765133
134,-10.6352757120366
136,-10.0485995140366
138,-9.5275239769955
140,-9.06193457878558
142,-8.64349841510859
144,-8.26529072967433
146,-7.92152833911675
148,-7.60748125292685
150,-7.3191766388656
152,-7.05324639936063
154,-6.80684510078707
156,-6.57762092689046
158,-6.36352923512983
160,-6.16286201612076
162,-5.97412612030151
164,-5.79606516540524
166,-5.62758226229644
168,-5.46775166501907
170,-5.31577474298464
172,-5.1709462915174
174,-5.03267017715238
176,-4.9004254893938
178,-4.77376123367584
180,-4.65229606652654
182,-4.53564920449507
184,-4.42356393360694
186,-4.31577919559896
188,-4.21207704757217
190,-4.11215179435511
192,-4.01597092622496
194,-3.92331595388122
196,-3.83408419447939
198,-3.74813792513838
200,-3.66542717418811
