"Freq [MHz]","dB(S(1,1)) []"
100,-7.88553275436535
102,-9.01205859706968
104,-10.2742361760061
106,-11.6792448913588
108,-13.2201489818347
110,-14.8492397431991
112,-16.420652021889
114,-17.6212336909841
116,-18.0573398230935
118,-17.6301611055099
120,-16.6590186313992
122,-15.5130703835369
124,-14.3949916340665
126,-13.3783475473392
128,-12.4774872335509
130,-11.6851987360617
132,-10.9881760153239
134,-10.3726778076842
136,-9.82635707704746
138,-9.33866908723432
140,-8.90078634629287
142,-8.50536923864041
144,-8.1463197998166
146,-7.81856075302691
148,-7.51785102927733
150,-7.24063296256443
152,-6.98391213045088
154,-6.74515836255314
156,-6.52222674057127
158,-6.31329268578763
160,-6.11679826846462
162,-5.93140906018767
164,-5.75598137365732
166,-5.58953553421048
168,-5.43123121098455
170,-5.28034554364713
172,-5.13625512010579
174,-4.99842129100179
176,-4.86637787602067
178,-4.73972118843722
180,-4.61810081974405
182,-4.50121291289199
184,-4.38879265897156
186,-4.28061036366302
188,-4.17646554301136
190,-4.07618487009453
192,-3.97961721916196
194,-3.88663202392433
196,-3.79711665985107
198,-3.71097450121158
200,-3.62812318061035
