"Freq [MHz]","dB(S(1,1)) []"
100,-7.11906044924584
102,-8.13515692699583
104,-9.26825267923693
106,-10.5222944980336
108,-11.8913918325281
110,-13.3449328129419
112,-14.7972384451496
114,-16.0642853429497
116,-16.8644079548277
118,-16.9780976908145
120,-16.4643177311785
122,-15.5922116039813
124,-14.6073530962804
126,-13.644772418509
128,-12.7586416440968
130,-11.9628717045387
132,-11.2546642475286
134,-10.6253867380624
136,-10.0651255218195
138,-9.56444402836113
140,-9.11496346048801
142,-8.70946576347394
144,-8.34181589426483
146,-8.00682767561057
148,-7.70012365291576
150,-7.41800781824307
152,-7.15735663772356
154,-6.91552784855567
156,-6.69028267229959
158,-6.47971262389025
160,-6.28215962659114
162,-6.09613474243307
164,-5.92028592748009
166,-5.75345370741758
168,-5.59472510256001
170,-5.44338846483115
172,-5.29884764158318
174,-5.16057302583746
176,-5.02808843072349
178,-4.90096942813801
180,-4.77884163217233
182,-4.66137711878574
184,-4.54828982119808
186,-4.43933076401954
188,-4.33428360505042
190,-4.23296066986324
192,-4.13519951118672
194,-4.04085995622176
196,-3.94982157373009
198,-3.86198148358534
200,-3.77725242877265
