"Freq [MHz]","dB(S(1,1)) []"
100,-7.75072678579973
102,-8.89290451647684
104,-10.1505041012015
106,-11.5012345547835
108,-12.8833963993987
110,-14.1634125538984
112,-15.1192487417329
114,-15.5199064900527
116,-15.3087738819177
118,-14.6579878015779
120,-13.8046036313226
122,-12.9143256490972
124,-12.0690827582721
126,-11.2994337150804
128,-10.6112436087531
130,-10.0001049431733
132,-9.45805788384986
134,-8.97649141384193
136,-8.54730066445016
138,-8.16327765156268
140,-7.81817679686466
142,-7.5066515512721
144,-7.22414825443483
146,-6.96679394763209
148,-6.73129268110194
150,-6.51483503202724
152,-6.31502132260277
154,-6.129797359202
156,-5.95740098761614
158,-5.7963177310387
160,-5.64524391462952
162,-5.50305583920338
164,-5.36878364337748
166,-5.24158855935509
168,-5.12074262309284
170,-5.00561106805442
172,-4.89563896916278
174,-4.79034284708039
176,-4.68930473026318
178,-4.59216524701979
180,-4.49861526999359
182,-4.40838785215507
184,-4.32125168114429
186,-4.23700609258801
188,-4.15547720880381
190,-4.07651482269664
192,-3.99998979604853
194,-3.9257918441055
196,-3.85382763213656
198,-3.78401912455959
200,-3.71630213348242
