"Freq [MHz]","dB(S(1,1)) []"
100,-8.34027435211586
102,-9.57528428377507
104,-10.9505396900185
106,-12.4493944577067
108,-14.0054773838558
110,-15.4463841398381
112,-16.4531390279385
114,-16.7026947198074
116,-16.1933677638445
118,-15.242851836552
120,-14.1627120330477
122,-13.1182470094131
124,-12.1698552438901
126,-11.3293508422244
128,-10.5902452768052
130,-9.94059736412408
132,-9.36792215081559
134,-8.86086887342895
136,-8.40964682062248
138,-8.00599192038023
140,-7.64298602687538
142,-7.31484858596881
144,-7.01674352362211
146,-6.74461377542162
148,-6.49504424036213
150,-6.26514992680859
152,-6.05248503186285
154,-5.85496872449479
156,-5.67082373732926
158,-5.49852459229157
160,-5.33675456132619
162,-5.18437457732098
164,-5.0404064177936
166,-4.90401965714703
168,-4.77450840177724
170,-4.65126343167031
172,-4.53375248919004
174,-4.42150929071986
176,-4.31412608490639
178,-4.21124700349902
180,-4.11256176350035
182,-4.01779991472693
184,-3.92672577294499
186,-3.83913406122834
188,-3.7548462094389
190,-3.67370723107893
192,-3.59558309246112
194,-3.52035848814199
196,-3.44793494385618
198,-3.37822916927614
200,-3.31117159257031
