"Freq [MHz]","dB(S(1,1)) []"
100,-6.41473766361805
102,-6.99101005335445
104,-7.57643651509491
106,-8.16668600952041
108,-8.75787543025919
110,-9.3467564627767
112,-9.93085482665975
114,-10.5085473497751
116,-11.0790655388289
118,-11.642418539365
120,-12.1992323659096
122,-12.7505045028606
124,-13.2972714993203
126,-13.8401825907116
128,-14.3789648427669
130,-14.9117604539673
132,-15.4343230550718
134,-15.9390947211743
136,-16.4142740720698
138,-16.8431547670819
140,-17.2042512090432
142,-17.4729086517746
144,-17.6249136038766
146,-17.641748817616
148,-17.5157645047931
150,-17.2527773182927
152,-16.870617199115
154,-16.3944210781889
156,-15.851107415085
158,-15.265330514284
160,-14.6575873848786
162,-14.0436979806428
164,-13.4350717575449
166,-12.8394792195355
168,-12.2619469580284
170,-11.7055335761324
172,-11.1719269009662
174,-10.6618797696229
176,-10.1755190568827
178,-9.71256092919541
180,-9.27245892044746
182,-8.85450487357639
184,-8.45789718712316
186,-8.08178661632384
188,-7.72530675419287
190,-7.3875940658866
192,-7.06780089358936
194,-6.76510366854094
196,-6.47870790078313
198,-6.20785100266515
200,-5.95180362040585
