"Freq [MHz]","dB(S(1,1)) []"
100,-7.97240661271189
102,-9.05220834744392
104,-10.243938537845
106,-11.5460565000084
108,-12.9414565284076
110,-14.3773718246341
112,-15.7309149577201
114,-16.780937033023
116,-17.2696535164244
118,-17.0998885312993
120,-16.4341401988565
122,-15.5303541575479
124,-14.5754293303048
126,-13.6623538287913
128,-12.825851946411
130,-12.0729172508673
132,-11.3991892281166
134,-10.7964505082056
136,-10.2557979468849
138,-9.76887959859613
140,-9.32829962006996
142,-8.92767824710112
144,-8.56157895964667
146,-8.22539384039567
148,-7.91522462382956
150,-7.62777289838865
152,-7.36024080094526
154,-7.1102372685359
156,-6.8756899733762
158,-6.65479137762456
160,-6.44600957465029
162,-6.24809969323261
164,-6.06003994627042
166,-5.88095200835115
168,-5.71006417336214
170,-5.54670071029119
172,-5.39027471234262
174,-5.24027893761247
176,-5.09627583107476
178,-4.95788792102649
180,-4.82478928292462
182,-4.69669813570457
184,-4.57337053918221
186,-4.45459510364874
188,-4.34018848069138
190,-4.22999164861077
192,-4.12386672117458
194,-4.02169426308309
196,-3.92337096948498
198,-3.82880762880337
200,-3.73792725030228
