"Freq [MHz]","dB(S(1,1)) []"
100,-4.7520845017628
102,-5.21558106559362
104,-5.684697854877
106,-6.15325914779621
108,-6.61534809308765
110,-7.06570694293222
112,-7.50009221115552
114,-7.91554085311129
116,-8.31051477336818
118,-8.68491034392107
120,-9.03994254966505
122,-9.37793325163528
124,-9.70204453301205
126,-10.0159989412973
128,-10.3238204864364
130,-10.6296175147091
132,-10.9374153310932
134,-11.2510355685655
136,-11.5740118490345
138,-11.9095268575596
140,-12.2603533527899
142,-12.6287795262487
144,-13.0164962092856
146,-13.4244189153522
148,-13.8524112815784
150,-14.2988693687351
152,-14.7601226533008
154,-15.2296180533205
156,-15.6969001422731
158,-16.1465212797773
160,-16.5572514605373
162,-16.9022989231068
164,-17.1515083621408
166,-17.276196909301
168,-17.2559361083372
170,-17.0846329823167
172,-16.7725763148089
174,-16.3431670766447
176,-15.8263423932192
178,-15.252112550966
180,-14.6464021496019
182,-14.0294359442234
184,-13.4158501521625
186,-12.8156094938473
188,-12.2351135223687
190,-11.6781919896984
192,-11.146892059049
194,-10.6420588282441
196,-10.1637460675822
198,-9.71149941200834
200,-9.28454830034805
