"Theta [deg]","dB(GainTotal) [] - Freq='0.07GHz' Phi='90deg'"
-90,-inf
-89,-2.33512735922626
-88,-2.30667792122377
-87,-2.25977224403525
-86,-2.19514980040344
-85,-2.11379722157968
-84,-2.01690526022632
-83,-1.90582044489648
-82,-1.78199516853238
-81,-1.64693954614702
-80,-1.50217766652653
-79,-1.34921001116892
-78,-1.18948296709945
-77,-1.02436562540567
-76,-0.855133493324309
-75,-0.682958370531356
-74,-0.508903434840917
-73,-0.333922516082567
-72,-0.158862570690103
-71,0.0155315333852382
-70,0.188610681983932
-69,0.359814250904796
-68,0.528662398710604
-67,0.694748280999355
-66,0.857730448041275
-65,1.01732560370461
-64,1.17330183751602
-63,1.32547239142824
-62,1.47368998588891
-61,1.61784170359682
-60,1.75784441157828
-59,1.89364069091522
-58,2.02519523694841
-57,2.1524916897319
-56,2.27552985389085
-55,2.39432326804069
-54,2.5088970859719
-53,2.61928623445989
-52,2.72553381551809
-51,2.82768972396041
-50,2.92580945413638
-49,3.01995307255605
-48,3.11018433578045
-47,3.19656993538747
-46,3.27917885402492
-45,3.35808181853328
-44,3.43335083787064
-43,3.50505881511654
-42,3.57327922418567
-41,3.63808584306599
-40,3.6995525364246
-39,3.75775308131738
-38,3.81276103050958
-37,3.86464960857949
-36,3.91349163654907
-35,3.95935948127571
-34,4.00232502625948
-33,4.04245966087809
-32,4.07983428536783
-31,4.11451932912812
-30,4.14658478014774
-29,4.17610022353719
-28,4.20313488730948
-27,4.22775769368421
-26,4.250037314302
-25,4.27004222783069
-24,4.28784077852453
-23,4.30350123436525
-22,4.31709184347209
-21,4.32868088751859
-20,4.33833673093927
-19,4.34612786475084
-18,4.35212294385308
-17,4.35639081671405
-16,4.35900054638653
-15,4.36002142184709
-14,4.35952295869961
-13,4.357574888341
-12,4.3542471347511
-11,4.34960977814245
-10,4.34373300478927
-9,4.33668704245106
-8,4.32854208091453
-7,4.31936817729964
-6,4.30923514591145
-5,4.29821243256993
-4,4.28636897351405
-3,4.27377303915463
-2,4.26049206314083
-1,4.24659245740696
0,4.23213941407715
1,4.21719669532274
2,4.20182641248878
3,4.18608879602695
4,4.17004195799018
5,4.15374164905335
6,4.1372410122213
7,4.12059033556466
8,4.1038368064805
9,4.08702427010495
10,4.07019299460256
11,4.0533794461203
12,4.03661607621722
13,4.01993112456332
14,4.0033484396396
15,3.9868873200665
16,3.97056237903956
17,3.95438343416095
18,3.93835542472707
19,3.92247835826902
20,3.90674728784985
21,3.89115232130655
22,3.87567866329174
23,3.86030669062837
24,3.84501206114686
25,3.8297658558375
26,3.8145347538267
27,3.79928123938372
28,3.78396383988814
29,3.76853739344617
30,3.75295334463713
31,3.73716006670641
32,3.7211032083969
33,3.70472606353069
34,3.68796996141365
35,3.67077467613718
36,3.65307885289026
37,3.63482044946634
38,3.61593719124976
39,3.59636703808796
40,3.57604866159395
41,3.55492193156964
42,3.53292841038893
43,3.51001185432115
44,3.48611872090318
45,3.46119868157463
46,3.43520513886632
47,3.40809574747003
48,3.37983293851
49,3.35038444627409
50,3.31972383653922
51,3.28783103543219
52,3.25469285749684
53,3.2203035312843
54,3.18466522033863
55,3.14778853690987
56,3.10969304508668
57,3.07040774929891
58,3.02997156329759
59,2.98843375377897
60,2.94585435178989
61,2.90230452394622
62,2.85786689433588
63,2.81263580679053
64,2.76671751603266
65,2.72023029508634
66,2.67330444533676
67,2.62608219480862
68,2.57871746968557
69,2.53137552390519
70,2.48423241193415
71,2.43747429066037
72,2.39129653783285
73,2.3459026767293
74,2.30150309981074
75,2.25831358807823
76,2.21655362768844
77,2.17644453106973
78,2.13820737620708
79,2.10206078476364
80,2.06821856703738
81,2.03688726910501
82,2.00826366451141
83,1.9825322391088
84,1.95986272270449
85,1.94040772461868
86,1.92430053171317
87,1.91165312664085
88,1.90255448080167
89,1.89706917087411
90,-inf
