"Theta [deg]","dB(GainTotal) [] - Freq='0.09GHz' Phi='90deg'"
-90,-inf
-89,1.87210624856709
-88,1.88886119679237
-87,1.9165741246059
-86,1.95493390158795
-85,2.00351819181612
-84,2.06180569889869
-83,2.12919059824445
-82,2.20499836085081
-81,2.28850216904701
-80,2.37893918267349
-79,2.47552601978293
-78,2.57747295142751
-77,2.68399645773846
-76,2.79432993692608
-75,2.90773248843883
-74,3.02349579901686
-73,3.14094924248974
-72,3.25946336092173
-71,3.37845192844539
-70,3.49737281356077
-69,3.61572785508211
-68,3.73306195550684
-67,3.84896157714213
-66,3.96305280398929
-65,4.07499910858721
-64,4.18449893951335
-63,4.29128322320873
-62,4.39511285393371
-61,4.49577622831243
-60,4.59308686616482
-59,4.68688114706086
-58,4.7770161820614
-57,4.86336783217443
-56,4.94582887887871
-55,5.02430734737239
-54,5.09872497973776
-53,5.16901585274358
-52,5.23512513333354
-51,5.29700796380272
-50,5.35462846810049
-49,5.40795887050176
-48,5.45697871796334
-47,5.50167419775336
-46,5.54203754234971
-45,5.57806651410149
-44,5.60976396270024
-43,5.63713744908871
-42,5.66019893002306
-41,5.67896449808582
-40,5.69345417251109
-39,5.70369173672146
-38,5.70970461898536
-37,5.71152381307776
-36,5.70918383626588
-35,5.70272272234294
-34,5.69218204779482
-33,5.67760698950714
-32,5.65904641270157
-31,5.63655298802899
-30,5.61018333694193
-29,5.5799982046165
-28,5.54606265979193
-27,5.5084463209405
-26,5.46722360816625
-25,5.42247402015292
-24,5.37428243533302
-23,5.32273943622367
-22,5.26794165556239
-21,5.20999214246929
-20,5.14900074635157
-19,5.08508451564239
-18,5.0183681077215
-17,4.9489842054905
-16,4.87707393506671
-15,4.80278727791372
-14,4.72628346944451
-13,4.64773137472388
-12,4.56730983037479
-11,4.48520794018365
-10,4.40162531023986
-9,4.31677220778518
-8,4.23086962635648
-7,4.14414923836509
-6,4.05685321507146
-5,3.96923389310585
-4,3.88155326639423
-3,3.7940822827238
-2,3.70709992538495
-1,3.62089206251106
0,3.53575005004874
1,3.45196907884104
2,3.36984626216361
3,3.28967846721853
4,3.21175990248239
5,3.13637948223927
6,3.06381799981207
7,2.99434515152639
8,2.92821646378181
9,2.86567018516044
10,2.80692421361066
11,2.75217313474021
12,2.70158545051718
13,2.65530107770884
14,2.61342919185143
15,2.57604648533432
16,2.54319589744674
17,2.51488586039317
18,2.49109008900085
19,2.47174792398936
20,2.45676522025453
21,2.44601575368974
22,2.43934310364055
23,2.43656295404568
24,2.43746574534384
25,2.44181960175806
26,2.44937345477707
27,2.45986028344873
28,2.47300039516545
29,2.4885046764639
30,2.50607775136857
31,2.52542099431645
32,2.54623535504476
33,2.56822396339293
34,2.59109449223855
35,2.61456126633346
36,2.63834711332791
37,2.66218496057342
38,2.68581918728916
39,2.70900674635563
40,2.73151807342421
41,2.75313780331029
42,2.77366531490946
43,2.79291512629305
44,2.81071716135755
45,2.82691690856946
46,2.84137549109937
47,2.85396966609289
48,2.86459176908315
49,2.87314961768752
50,2.87956638681366
51,2.88378046567231
52,2.88574530498656
53,2.88542926092065
54,2.88281544043444
55,2.87790155100563
56,2.8706997559492
57,2.86123653489697
58,2.8495525473751
59,2.8357024958291
60,2.81975498289392
61,2.80179235619385
62,2.78191053249323
63,2.76021879162144
64,2.73683952929001
65,2.71190795674135
66,2.6855717341646
67,2.65799052403873
68,2.62933545008526
69,2.59978844740476
70,2.56954148971565
71,2.53879568049233
72,2.50776019629259
73,2.47665107274361
74,2.44568982657384
75,2.41510191076459
76,2.38511500434282
77,2.35595714349495
78,2.32785470644905
79,2.30103027079005
80,2.27570036832231
81,2.25207316900217
82,2.23034613151002
83,2.21070366336377
84,2.1933148377308
85,2.17833121692325
86,2.16588483365982
87,2.15608638031353
88,2.14902365337637
89,2.14476029557748
90,-inf
