"Theta [deg]","GainTotal [] - Freq='0.078GHz' Phi='90deg'"
-89,0.000362048676014171
-88,0.0003367116006239
-87,0.0003209477210752
-86,0.000354318148777943
-85,0.000491947954819187
-84,0.000804275071033132
-83,0.00137673878030076
-82,0.00230941455666627
-81,0.00371660174009394
-80,0.00572636939138773
-79,0.00848006368169765
-78,0.0121317774065446
-77,0.0168477788194314
-76,0.0228058931565254
-75,0.0301948262220485
-74,0.0392134155099742
-73,0.0500697908571686
-72,0.0629804238636564
-71,0.0781690435674031
-70,0.0958653953776326
-69,0.116303821251696
-68,0.139721641675277
-67,0.166357324221102
-66,0.196448429273621
-65,0.230229330778636
-64,0.267928718378503
-63,0.309766896712533
-62,0.355952907615632
-61,0.406681511000987
-60,0.46213006989942
-59,0.522455393977784
-58,0.587790603419972
-57,0.65824208091923
-56,0.733886583358621
-55,0.814768586291587
-54,0.90089793341919
-53,0.992247859843392
-52,1.08875345201347
-51,1.19031059913567
-50,1.29677548063862
-49,1.40796462241344
-48,1.52365554137382
-47,1.64358798384825
-46,1.76746574888695
-45,1.89495907320717
-44,2.02570754066734
-43,2.15932346627775
-42,2.29539569320754
-41,2.43349373136777
-40,2.57317215821171
-39,2.71397519660669
-38,2.85544138113964
-37,2.99710822309414
-36,3.13851678558477
-35,3.27921608389037
-34,3.41876723175879
-33,3.55674726216787
-32,3.69275256046636
-31,3.82640185867801
-30,3.95733875168516
-29,4.08523370863267
-28,4.2097855658099
-27,4.3307225000724
-26,4.44780249416038
-25,4.56081331668893
-24,4.66957204979309
-23,4.77392420613429
-22,4.87374248399633
-21,4.96892521437743
-20,5.0593945572503
-19,5.14509450552173
-18,5.22598875475476
-17,5.30205849456461
-16,5.3733001739612
-15,5.43972328803149
-14,5.50134822750459
-13,5.55820422621371
-12,5.61032743455435
-11,5.65775914002326
-10,5.70054414907256
-9,5.73872933806681
-8,5.77236237528864
-7,5.80149061086484
-6,5.82616012730155
-5,5.84641494010291
-4,5.86229633574143
-3,5.87384233305028
-2,5.88108725388202
-1,5.88406138955759
0,5.88279075111759
1,5.87729689356754
2,5.86759680703712
3,5.85370287089779
4,5.83562287023271
5,5.81336007745213
6,5.7869134051132
7,5.75627763895576
8,5.72144376262693
9,5.68239938737224
10,5.63912930097064
11,5.59161615025913
12,5.53984127063541
13,5.48378567388497
14,5.4234312025394
15,5.35876185476778
16,5.28976527862006
17,5.21643442842
18,5.13876936943712
19,5.05677920989321
20,4.97048413215987
21,4.87991748798994
22,4.78512791612619
23,4.686181434973
24,4.58316345851299
25,4.47618068057944
26,4.36536277118288
27,4.25086382899872
28,4.13286353643463
29,4.0115679679129
30,3.88721000803389
31,3.76004934396364
32,3.63037200546359
33,3.49848943614719
34,3.36473709045548
35,3.22947256211658
36,3.09307326111418
37,2.95593366707677
38,2.81846219718529
39,2.68107773590373
40,2.54420588184303
41,2.40827497371173
42,2.27371196248458
43,2.14093820058116
44,2.01036522098252
45,1.88239057984796
46,1.75739383536731
47,1.63573273334935
48,1.51773966645721
49,1.40371846911111
50,1.29394160394154
51,1.18864778835202
52,1.08804010131644
53,0.992284601091014
54,0.901509474204126
55,0.815804725079176
56,0.735222404181186
57,0.659777360940669
58,0.589448496229924
59,0.524180478213403
60,0.463885875349383
61,0.408447651566128
62,0.357721961526191
63,0.311541178729411
64,0.269717086215896
65,0.232044158947374
66,0.198302868593945
67,0.168262945344111
68,0.141686537287415
69,0.118331215586572
70,0.0979527826695341
71,0.0803078505793772
72,0.0651561669346059
73,0.0522626761836514
74,0.0413993135201402
75,0.0323465375486559
76,0.0248946152202913
77,0.0188446784541449
78,0.0140095760911954
79,0.010214547364903
80,0.00729774399577288
81,0.00511062749344253
82,0.00351826652129216
83,0.00239955653746235
84,0.00164738069057893
85,0.00116872743637801
86,0.000884776846299959
87,0.000730964348635039
88,0.000657027862207033
89,0.000627042063895369
