"Theta [deg]","GainTotal [] - Freq='0.073GHz' Phi='90deg'"
-89,0.000213383516650671
-88,0.000166994052702789
-87,0.000118382554334214
-86,0.000110364578896442
-85,0.000202416584465362
-84,0.000470224182473697
-83,0.00100511882839807
-82,0.00191341475198844
-81,0.00331565916187577
-80,0.00534580927589253
-79,0.00815034949633512
-78,0.0118873610778884
-77,0.0167255549755152
-76,0.0228432763004049
-75,0.0304274860799984
-74,0.0396727229692511
-73,0.0507800443735078
-72,0.0639559433114574
-71,0.0794112344667151
-70,0.0973599004397205
-69,0.118017887392767
-68,0.14160183822921
-67,0.168327751278038
-66,0.19840955324065
-65,0.232057576925432
-64,0.269476937026504
-63,0.310865800826031
-62,0.356413555098893
-61,0.406298875516822
-60,0.460687710294556
-59,0.51973119547536
-58,0.583563524883549
-57,0.65229980313786
-56,0.726033914986787
-55,0.804836448375213
-54,0.888752711884296
-53,0.977800889338459
-52,1.07197037531668
-51,1.17122033495398
-50,1.27547852973078
-49,1.38464044792639
-48,1.49856877410488
-47,1.61709322649776
-46,1.74001078457717
-45,1.86708632163975
-44,1.99805364904143
-43,2.13261697005511
-42,2.2704527324078
-41,2.41121185964062
-40,2.55452233278203
-39,2.69999208568494
-38,2.8472121699969
-37,2.99576013933418
-36,3.14520359701523
-35,3.29510384784333
-34,3.44501959203622
-33,3.59451059856315
-32,3.74314129589565
-31,3.890484220484
-30,4.03612326706283
-29,4.17965669003944
-28,4.32069981155732
-27,4.45888739914444
-26,4.59387568391117
-25,4.72534399879483
-24,4.85299602508785
-23,4.9765606441649
-22,5.09579239968679
-21,5.21047158337177
-20,5.32040396448781
-19,5.42542018936959
-18,5.52537488238048
-17,5.62014548375049
-16,5.7096308625946
-15,5.793749745169
-14,5.87243899910781
-13,5.94565181408941
-12,6.01335581822393
-11,6.07553116756734
-10,6.13216864370011
-9,6.18326779141166
-8,6.22883512535385
-7,6.26888243120868
-6,6.30342518358093
-5,6.33248109958335
-4,6.35606884401308
-3,6.37420689918425
-2,6.38691260991887
-1,6.39420141191642
0,6.39608624971236
1,6.39257718866352
2,6.38368122381645
3,6.36940228705963
4,6.34974145256161
5,6.32469733907744
6,6.29426670618994
7,6.25844523987055
8,6.21722852083601
9,6.17061316699725
10,6.11859813881928
11,6.06118619363248
12,5.99838547187796
13,5.9302111949811
14,5.85668745110435
15,5.77784904153428
16,5.69374335703471
17,5.60443225029242
18,5.5099938677532
19,5.41052440185998
20,5.30613972312528
21,5.19697685075207
22,5.08319522079407
23,4.96497771222557
24,4.84253139383959
25,4.71608795863808
26,4.58590381729385
27,4.45225982827477
28,4.31546064920037
29,4.17583370177098
30,4.03372775095238
31,3.88951110775988
32,3.7435694736902
33,3.59630345330859
34,3.44812576943113
35,3.29945822248034
36,3.15072844170102
37,3.00236648080666
38,2.85480131414042
39,2.70845729148927
40,2.56375061025257
41,2.42108586276435
42,2.28085271427713
43,2.14342276355939
44,2.00914663339626
45,1.87835133269935
46,1.75133792562707
47,1.62837953629486
48,1.50971971051798
49,1.39557114876509
50,1.2861148172834
51,1.18149943733851
52,1.08184134582865
53,0.98722471429842
54,0.897702107689991
55,0.813295359113805
56,0.733996732567
57,0.659770341939107
58,0.590553791871242
59,0.526260004119162
60,0.46677919204048
61,0.411980945695064
62,0.361716390808962
63,0.315820386476584
64,0.274113728907477
65,0.236405331678731
66,0.202494356718673
67,0.172172274481994
68,0.145224836317532
69,0.121433946697334
70,0.100579427580087
71,0.0824406715351295
72,0.0667981841771239
73,0.0534350197997261
74,0.0421381167234656
75,0.0326995407014811
76,0.0249176457143732
77,0.0185981616373037
78,0.0135552176313323
79,0.00961230879406544
80,0.00660321173757227
81,0.00437285250948797
82,0.00277812782048868
83,0.00168867807897228
84,0.00098760844725177
85,0.000572152190438091
86,0.00035426912825373
87,0.000261171122254798
88,0.000235766293152997
89,0.000237014074363225
