"Theta [deg]","GainTotal [] - Freq='0.074GHz' Phi='0deg'"
-89,0.00381170881448446
-88,0.0148468899552986
-87,0.0331790276595201
-86,0.0587205967492628
-85,0.0913504664732271
-84,0.130915286131525
-83,0.177231240708934
-82,0.230086155593025
-81,0.28924192340335
-80,0.354437219438853
-79,0.425390465465692
-78,0.501802994810548
-77,0.583362365360458
-76,0.669745761507569
-75,0.76062342173379
-74,0.85566202579655
-73,0.954527974678911
-72,1.05689049783528
-71,1.16242452590589
-70,1.27081327295906
-69,1.38175048027871
-68,1.49494228343961
-67,1.61010867548475
-66,1.72698455093384
-65,1.84532032755769
-64,1.96488215479362
-63,2.08545172883042
-62,2.20682574430884
-61,2.3288150209212
-60,2.45124334972683
-59,2.57394610863927
-58,2.69676869931906
-57,2.81956485876949
-56,2.94219489851057
-55,3.06452392258435
-54,3.18642007312336
-53,3.30775284908263
-52,3.4283915402371
-51,3.54820381485869
-50,3.66705449571038
-49,3.78480455514886
-48,3.90131035616081
-47,4.0164231619662
-46,4.12998893226943
-45,4.24184841918749
-44,4.35183757022204
-43,4.45978823930607
-42,4.56552919995495
-41,4.66888744697651
-40,4.76968976522096
-39,4.86776453573554
-38,4.9629437417502
-37,5.0550651295246
-36,5.14397447261277
-35,5.22952788291874
-34,5.31159410835139
-33,5.39005675519906
-32,5.46481637370516
-31,5.53579234780276
-30,5.60292453451708
-29,5.66617460501725
-28,5.72552704744238
-27,5.78098980110333
-26,5.83259450207064
-25,5.88039633105993
-24,5.92447346546329
-23,5.96492614790701
-22,6.00187539343544
-21,6.03546136597744
-20,6.06584146186791
-19,6.09318814367812
-18,6.11768657134719
-17,6.13953207958605
-16,6.15892755080831
-15,6.17608073156804
-14,6.19120153785234
-13,6.20449939083185
-12,6.21618062009175
-11,6.22644596623865
-10,6.23548820939581
-9,6.2434899447317
-8,6.25062152106524
-7,6.25703915396178
-6,6.26288322074722
-5,6.26827674163923
-4,6.27332404879533
-3,6.27810964352597
-2,6.28269724118855
-1,6.2871290032946
0,6.29142495701771
1,6.2955826034431
2,6.2995767173852
3,6.30335934323486
4,6.3068599928903
5,6.309986053184
6,6.3126234111536
7,6.31463730585003
8,6.31587341498049
9,6.31615918343144
10,6.31530539852495
11,6.31310801369407
12,6.30935021812676
13,6.30380474488477
14,6.29623640416481
15,6.28640482189876
16,6.27406735699857
17,6.25898216349782
18,6.2409113569123
19,6.21962423765529
20,6.194900518621
21,6.16653349941732
22,6.13433312648508
23,6.09812887675088
24,6.05777240273414
25,6.01313987930523
26,5.96413399663177
27,5.91068555021814
28,5.85275458721399
29,5.79033107811507
30,5.72343509429263
31,5.65211648407816
32,5.57645405294837
33,5.49655426622032
34,5.41254950508081
35,5.32459591826166
36,5.23287092179987
37,5.13757040772487
38,5.03890572892365
39,4.93710053168174
40,4.83238750943448
41,4.72500515115011
42,4.61519455567221
43,4.50319637952824
44,4.38924798047836
45,4.27358081278724
46,4.15641812319932
47,4.03797298921045
48,3.91844673371976
49,3.7980277427054
50,3.6768907052961
51,3.55519628851743
52,3.43309125200699
53,3.31070900098467
54,3.18817056856827
55,3.06558601097779
56,2.94305619114683
57,2.82067491769978
58,2.69853139720272
59,2.57671294821053
60,2.4553079161968
61,2.33440871936177
62,2.21411494705708
63,2.09453642569457
64,1.97579616208351
65,1.85803307169768
66,1.741404399857
67,1.62608774753258
68,1.51228262059672
69,1.40021143179409
70,1.29011989825799
71,1.18227679359393
72,1.07697303178696
73,0.974520079714119
74,0.875247715029384
75,0.779501165781405
76,0.687637686496926
77,0.600022641876162
78,0.517025183087147
79,0.439013612466361
80,0.366350539965997
81,0.299387938852858
82,0.238462209054511
83,0.183889354409099
84,0.13596037526762
85,0.0949369708586993
86,0.0610476370269334
87,0.0344842348605022
88,0.015399094753316
89,0.00390270895386218
