"Freq [MHz]","dB(S(1,1)) [] - Height='0.85meter' L='0.7meter' W='0.8meter'","dB(S(1,1)) [] - Height='0.85meter' L='0.75meter' W='0.8meter'","dB(S(1,1)) [] - Height='0.85meter' L='0.8meter' W='0.8meter'","dB(S(1,1)) [] - Height='0.85meter' L='0.85meter' W='0.8meter'","dB(S(1,1)) [] - Height='0.85meter' L='0.9meter' W='0.8meter'","dB(S(1,1)) [] - Height='0.85meter' L='0.7meter' W='0.85meter'","dB(S(1,1)) [] - Height='0.85meter' L='0.75meter' W='0.85meter'","dB(S(1,1)) [] - Height='0.85meter' L='0.8meter' W='0.85meter'","dB(S(1,1)) [] - Height='0.85meter' L='0.85meter' W='0.85meter'","dB(S(1,1)) [] - Height='0.85meter' L='0.9meter' W='0.85meter'","dB(S(1,1)) [] - Height='0.85meter' L='0.7meter' W='0.9meter'","dB(S(1,1)) [] - Height='0.85meter' L='0.75meter' W='0.9meter'","dB(S(1,1)) [] - Height='0.85meter' L='0.8meter' W='0.9meter'","dB(S(1,1)) [] - Height='0.85meter' L='0.85meter' W='0.9meter'","dB(S(1,1)) [] - Height='0.85meter' L='0.9meter' W='0.9meter'","dB(S(1,1)) [] - Height='0.85meter' L='0.7meter' W='0.95meter'","dB(S(1,1)) [] - Height='0.85meter' L='0.75meter' W='0.95meter'","dB(S(1,1)) [] - Height='0.85meter' L='0.8meter' W='0.95meter'","dB(S(1,1)) [] - Height='0.85meter' L='0.85meter' W='0.95meter'","dB(S(1,1)) [] - Height='0.85meter' L='0.9meter' W='0.95meter'","dB(S(1,1)) [] - Height='0.85meter' L='0.7meter' W='1meter'","dB(S(1,1)) [] - Height='0.85meter' L='0.75meter' W='1meter'","dB(S(1,1)) [] - Height='0.85meter' L='0.8meter' W='1meter'","dB(S(1,1)) [] - Height='0.85meter' L='0.85meter' W='1meter'","dB(S(1,1)) [] - Height='0.85meter' L='0.9meter' W='1meter'","dB(S(1,1)) [] - Height='0.95meter' L='0.7meter' W='0.8meter'","dB(S(1,1)) [] - Height='0.95meter' L='0.75meter' W='0.8meter'","dB(S(1,1)) [] - Height='0.95meter' L='0.8meter' W='0.8meter'","dB(S(1,1)) [] - Height='0.95meter' L='0.85meter' W='0.8meter'","dB(S(1,1)) [] - Height='0.95meter' L='0.9meter' W='0.8meter'","dB(S(1,1)) [] - Height='0.95meter' L='0.7meter' W='0.85meter'","dB(S(1,1)) [] - Height='0.95meter' L='0.75meter' W='0.85meter'","dB(S(1,1)) [] - Height='0.95meter' L='0.8meter' W='0.85meter'","dB(S(1,1)) [] - Height='0.95meter' L='0.85meter' W='0.85meter'","dB(S(1,1)) [] - Height='0.95meter' L='0.9meter' W='0.85meter'","dB(S(1,1)) [] - Height='0.95meter' L='0.7meter' W='0.9meter'","dB(S(1,1)) [] - Height='0.95meter' L='0.75meter' W='0.9meter'","dB(S(1,1)) [] - Height='0.95meter' L='0.8meter' W='0.9meter'","dB(S(1,1)) [] - Height='0.95meter' L='0.85meter' W='0.9meter'","dB(S(1,1)) [] - Height='0.95meter' L='0.9meter' W='0.9meter'","dB(S(1,1)) [] - Height='0.95meter' L='0.7meter' W='0.95meter'","dB(S(1,1)) [] - Height='0.95meter' L='0.75meter' W='0.95meter'","dB(S(1,1)) [] - Height='0.95meter' L='0.8meter' W='0.95meter'","dB(S(1,1)) [] - Height='0.95meter' L='0.85meter' W='0.95meter'","dB(S(1,1)) [] - Height='0.95meter' L='0.9meter' W='0.95meter'","dB(S(1,1)) [] - Height='0.95meter' L='0.7meter' W='1meter'","dB(S(1,1)) [] - Height='0.95meter' L='0.75meter' W='1meter'","dB(S(1,1)) [] - Height='0.95meter' L='0.8meter' W='1meter'","dB(S(1,1)) [] - Height='0.95meter' L='0.85meter' W='1meter'","dB(S(1,1)) [] - Height='0.95meter' L='0.9meter' W='1meter'"
77,-15.9579737285391,-15.1781610618883,-7.26472368353425,-8.57288196779218,-7.90136734979093,-7.95495160493535,-7.50072188252592,-10.5932112724442,-6.16675535212376,-8.5665091601699,-8.76233766370055,-8.89350786196478,-8.13606385341106,-8.54145272379651,-5.77804658608764,-10.0268473985923,-10.6999567440064,-12.6158059365674,-5.59403866897812,-8.75296401837934,-8.65412776200847,-8.10288289731264,-7.31087446311989,-7.82526589114599,-7.75481896689727,-10.8826921653289,-10.9644079359949,-10.0876333313071,-9.6161724390791,-6.37775473388208,-9.40432241650352,-11.7715514683625,-10.810509013751,-5.56098808377031,-6.792976211681,-8.71008655126465,-8.52668914985918,-8.63589030903974,-8.19270473936133,-5.91457225164125,-8.1148364466508,-8.72748166447763,-5.81479004845065,-7.73145038301808,-6.1751439147179,-9.4904677181501,-8.49260292771621,-10.7724978711038,-5.06879751308472,-5.95389506667909
78,-16.2671328496294,-14.5565298040541,-6.80147726406077,-8.09648863893491,-7.5416713418752,-7.73364158336529,-7.07818193429993,-9.92596765883249,-5.81922406311377,-8.11532747918525,-8.63146071783288,-8.45287010670854,-7.65244510945772,-8.04497017045665,-5.4691587378391,-9.70491152897344,-10.2059716601888,-11.8090496846487,-5.29232033571411,-8.30936995457241,-8.45597660757251,-7.73522427478888,-6.88019869099593,-7.37496216183327,-7.35719993953783,-10.5512723191849,-10.5912689690343,-9.5591890617916,-9.12230257613991,-6.08294934124201,-9.11502977694194,-11.2207648873226,-10.2633564129941,-5.2942308153827,-6.50093751010177,-8.49233969233227,-8.1280270328486,-8.18423668119292,-7.79856005687354,-5.63740030221378,-7.8692569911793,-8.40040854024871,-5.51836417152933,-7.34785886938027,-5.88333128051072,-9.25839400916386,-8.12763713638392,-10.2330847387686,-4.81999285184566,-5.68661951635052
79,-16.2671796589472,-13.8603147140428,-6.38508776797821,-7.67430548568071,-7.21802847718236,-7.47386505435382,-6.68213651779914,-9.33962813857651,-5.50944446765536,-7.71295358278732,-8.43993950883552,-8.02539712220292,-7.21651631414939,-7.60365772487594,-5.19161082749233,-9.34569564762486,-9.71463400468584,-11.1017212178982,-5.02235202847061,-7.9134909610231,-8.21328396904137,-7.37264045470406,-6.48501413059046,-6.97206639620406,-7.00061076604914,-10.1894744590314,-10.2035950277405,-9.08574186845885,-8.68081095213329,-5.81626063039153,-8.80920704282789,-10.699940922104,-9.76312730403447,-5.05350182786026,-6.23651436581555,-8.25094700693975,-7.75389693861505,-7.77457203106681,-7.44435406852251,-5.38624562025439,-7.61093855722442,-8.07526721217306,-5.24663777148145,-7.00098867109275,-5.61861903249013,-9.00045676704228,-7.78094463678287,-9.74380766820581,-4.59480969916317,-5.44373371160425
80,-15.9983467545278,-13.1545855721658,-6.00997810171895,-7.29744049440455,-6.92514286714664,-7.19128643659056,-6.31420338940052,-8.82060034576624,-5.23189561228679,-7.35162351723125,-8.20485171716956,-7.61863626087225,-6.82307089413647,-7.20902229605212,-4.94100658776781,-8.97010083383085,-9.23997127462165,-10.4773861710522,-4.77964866144735,-7.55784838293769,-7.94219930520678,-7.02248889704944,-6.12329867062698,-6.61007303984278,-6.67894820948691,-9.81487906684066,-9.81566610806798,-8.6596484168036,-8.28393453599483,-5.57380695850584,-8.49813463408297,-10.2133127024321,-9.30623868430995,-4.83535174416419,-5.99588500256875,-7.99693223750268,-7.40465242586717,-7.40203938256816,-7.12434990760588,-5.15767601409057,-7.34814284133237,-7.75858214223128,-4.99751466117399,-6.68618268014084,-5.37745947768225,-8.72852612668365,-7.45485152215307,-9.29931939577028,-4.39070718750904,-5.2220237450299
81,-15.5388887349309,-12.474626700782,-5.67103188007133,-6.95884247532965,-6.65868839245217,-6.89810575508466,-5.9740994358106,-8.35803284851444,-4.98202093487175,-7.02514291578319,-7.94141999913264,-7.23616407381907,-6.46718930644503,-6.85420894799145,-4.71373249055495,-8.59282975210075,-8.78942649550645,-9.92258615892692,-4.56048976680017,-7.23645325235962,-7.65575241397734,-6.68889025571696,-5.79244842962239,-6.28350313385404,-6.38725862664955,-9.43967708800339,-9.4366128196824,-8.27440466221773,-7.92527208537859,-5.35237249901807,-8.18962545224874,-9.7615568660354,-8.88859325384549,-4.63687299399991,-5.77588956383673,-7.73856723628006,-7.0795941027861,-7.06224729562896,-6.83382110959658,-4.948819256424,-7.08682328133192,-7.45436462132426,-4.76891929525925,-6.39946847795355,-5.15687752288477,-8.45156942223892,-7.15000538315729,-8.89455155887179,-4.20557328369328,-5.01879780598391
82,-14.9699869275744,-11.8366393782204,-5.36369893001645,-6.65284175614011,-6.41509722761128,-6.60323654582427,-5.66050521670746,-7.94320329973569,-4.75603733835637,-6.72850543177766,-7.66212061620753,-6.87909101894962,-6.14441673883323,-6.53362799281035,-4.50679612552466,-8.22350186342359,-8.36625505915443,-9.42640009995037,-4.36177011201955,-6.94444668421864,-7.36378723526984,-6.37379097330347,-5.48969594242498,-5.98775106049822,-6.1214767872391,-9.0717955494931,-9.07185832533564,-7.92451582302799,-7.59952593291717,-5.14927555030505,-7.88879856379761,-9.34346334801784,-8.50611814757273,-4.4556058873973,-5.57389598640361,-7.4817441481284,-6.77746351322568,-6.7513060392365,-6.56884723686108,-4.75726046424938,-6.83107242291102,-7.16486192000086,-4.5588840493902,-6.13745629237111,-4.95436387403476,-8.17603329497576,-6.86598131033454,-8.5249109254518,-4.03770361018988,-4.83178805320228
83,-14.3547136497911,-11.2461173271676,-5.0840012731142,-6.37482502677284,-6.19140225262761,-6.31284145394742,-5.37159522873164,-7.56904311646286,-4.55078561395935,-6.45762008851482,-7.37653961483378,-6.54707368319959,-5.85080815497765,-6.2426779908055,-4.31770307939373,-7.86795755759318,-7.97119241297601,-8.97996091192602,-4.1808828658406,-6.67784224690344,-7.07334510993022,-6.07774492791324,-5.212340086217,-5.71894666235214,-5.87823435658241,-8.71604526421228,-8.7243024058548,-7.60534903683615,-7.3022910843136,-4.96226656572256,-7.59879718262691,-8.95690898753836,-8.15501114806011,-4.28946184667037,-5.38769739605105,-7.23044599589332,-6.49674081264332,-6.46580990516013,-6.32615563396839,-4.58096060722509,-6.58355763315082,-6.89112996323666,-4.36559089957906,-5.89724808679064,-4.76779046317334,-7.9063390866604,-6.60168628293716,-8.18632855250874,-3.88578799719365,-4.65907358135565
84,-13.73412822885,-10.7030411814969,-4.82849564970662,-6.12099980572394,-5.98511771046802,-6.03095380239604,-5.10535311175038,-7.22977566273769,-4.36361286545928,-6.20911206241834,-7.09165720686776,-6.23896545937822,-5.58291151780609,-5.97753792772374,-4.14436192643831,-7.52939976719811,-7.60353748036656,-8.57603534953906,-4.01562763078608,-6.43333733972445,-6.78921127192784,-5.80045867586206,-4.95786894875571,-5.47383900386509,-5.65471682944394,-8.37507794086176,-8.39519682982609,-7.31299526182875,-7.02988625225735,-4.78944833477462,-7.32137385110168,-8.5994074252973,-7.83183623388686,-4.13666078844925,-5.21543255770112,-6.98720043119183,-6.23582031141183,-6.20279808142646,-6.10299812014894,-4.41819138942174,-6.34589479377949,-6.6334471027844,-4.187386538879,-5.67635954253994,-4.59534311570677,-7.64536323692119,-6.35563293869774,-7.87524209771339,-3.74890749101295,-4.49901938814658
85,-13.1317581116095,-10.20479046018,-4.59422031936626,-5.88822038532322,-5.79414752274088,-5.7600460401892,-4.85975263676626,-6.92064179859332,-4.19227962774777,-5.98017426754468,-6.81230684595367,-5.95322233896474,-5.33772488683886,-5.73500956931901,-3.98501005613937,-7.20927363500486,-7.2618293160215,-8.20868529123053,-3.86413756368384,-6.20817246307983,-6.51445984649589,-5.54115945182405,-4.72402498652537,-5.24970223220133,-5.44855490492754,-8.05010917645399,-8.08475537630883,-7.04414895285538,-6.7792193733621,-4.62921287835584,-7.05733421710774,-8.26840988518477,-7.5335434869259,-3.99568002190203,-5.05552345717194,-6.75346712139441,-5.993111173429,-5.95971017593226,-5.89705418655993,-4.26748287504078,-6.1189466406708,-6.39160084952791,-4.02278247255218,-5.472654352224,-4.43546763313514,-7.39484693516302,-6.12613786971271,-7.58855070442926,-3.62654189720999,-4.35022760404811
86,-12.5594957118916,-9.74769067719385,-4.37863951303751,-5.67385694216213,-5.61671394493794,-5.50149402265117,-4.63285656399086,-6.63769088102358,-4.03488607205118,-5.7684548879317,-6.54165440740908,-5.68814989901195,-5.1126450892329,-5.51239654070832,-3.83815515646061,-6.90789911515307,-6.9442593305251,-7.87300218976674,-3.72482123638945,-6.0000244723852,-6.25092441550115,-5.29883777847611,-4.50884319633926,-5.04426193725085,-5.25774081990848,-7.7414346059188,-7.79256369438262,-6.79600665695678,-6.54768059490956,-4.48019110282653,-6.80685890172532,-7.96146232112553,-7.25745275963703,-3.86521246163532,-4.90662579713075,-6.52994709905285,-5.76709270161924,-5.73434414198991,-5.70635440606574,-4.12758108626068,-5.90305047626514,-6.16507883223834,-3.87044702859939,-5.28428939168689,-4.28682636307901,-7.15572120128435,-5.91148033690875,-7.32356150782181,-3.51858421341493,-4.2114982113828
