"Theta [deg]","dB(GainTotal) [] - Freq='0.076GHz' Phi='90deg'"
-90,-inf
-89,-3.71693970379682
-88,-3.67480217091898
-87,-3.60562598775657
-86,-3.51091560364151
-85,-3.39263772037777
-84,-3.25310420793109
-83,-3.09484806096506
-82,-2.920504472955
-81,-2.73270612608645
-80,-2.53399815232739
-79,-2.32677476264096
-78,-2.11323681101113
-77,-1.89536776720244
-76,-1.674924668648
-75,-1.45344041549653
-74,-1.23223402855002
-73,-1.01242599479407
-72,-0.794956418750011
-71,-0.580604275841027
-70,-0.370006569864148
-69,-0.163676608131128
-68,0.0379790761555067
-67,0.234645393865814
-66,0.426085041164424
-65,0.612126484952856
-64,0.792653500258929
-63,0.967596131188357
-62,1.13692293096509
-61,1.30063433367995
-60,1.45875701567871
-59,1.61133911456468
-58,1.75844618619519
-57,1.90015779326137
-56,2.03656463207901
-55,2.16776611651064
-54,2.29386834918127
-53,2.41498242021458
-52,2.53122298258805
-51,2.64270706093409
-50,2.74955305728804
-49,2.85187992300633
-48,2.94980647095835
-47,3.04345080623849
-46,3.13292985714969
-45,3.21835899116553
-44,3.29985170306325
-43,3.37751936450576
-42,3.45147102609596
-41,3.52181326438395
-40,3.58865006752158
-39,3.65208275426711
-38,3.71220992187749
-37,3.76912741911534
-36,3.82292834116416
-35,3.87370304370937
-34,3.92153917382112
-33,3.96652171558099
-32,4.00873304864186
-31,4.04825301810785
-30,4.08515901427855
-29,4.11952606092603
-28,4.1514269108707
-27,4.18093214769843
-26,4.20811029252113
-25,4.23302791472942
-24,4.25574974572371
-23,4.27633879463974
-22,4.29485646511074
-21,4.31136267213103
-20,4.3259159581075
-19,4.33857360720711
-18,4.3493917571311
-17,4.35842550747088
-16,4.3657290238271
-15,4.37135563690297
-14,4.37535793581512
-13,4.37778785490127
-12,4.37869675334318
-11,4.37813548696639
-10,4.37615447162463
-9,4.3728037376275
-8,4.36813297472376
-7,4.36219156721097
-6,4.35502861880358
-5,4.34669296695743
-4,4.33723318641808
-3,4.32669758183331
-2,4.31513416934724
-1,4.30259064717417
0,4.2891143552339
1,4.27475222401792
2,4.25955071294602
3,4.2435557385658
4,4.22681259304283
5,4.20936585348609
6,4.19125928275099
7,4.17253572246099
8,4.15323697908592
9,4.13340370401184
10,4.1130752686304
11,4.09228963556622
12,4.07108322724542
13,4.04949079308791
14,4.0275452766775
15,4.00527768432733
16,3.98271695651126
17,3.95988984367446
18,3.9368207879669
19,3.91353181246111
20,3.89004241941951
21,3.86636949916645
22,3.84252725109564
23,3.81852711830383
24,3.79437773728851
25,3.77008490407878
26,3.74565155808774
27,3.72107778488016
28,3.69636083894404
29,3.67149518743848
30,3.64647257576536
31,3.62128211568028
32,3.59591039651969
33,3.57034161997879
34,3.54455775872923
35,3.51853873901857
36,3.49226264724623
37,3.46570596036369
38,3.43884379980108
39,3.4116502084779
40,3.384098450313
41,3.35616133150628
42,3.3278115427225
43,3.29902202116316
44,3.26976633136485
45,3.24001906340792
46,3.20975624705734
47,3.17895578018189
48,3.14759786960758
49,3.11566548235126
50,3.08314480494713
51,3.05002570831863
52,3.01630221535773
53,2.98197296804916
54,2.94704169061685
55,2.9115176447725
56,2.87541607271086
57,2.83875862302664
58,2.80157375422585
59,2.7638971099785
60,2.72577185971872
61,2.6872489976568
62,2.64838759274274
63,2.60925498163565
64,2.56992689631374
65,2.53048751763928
66,2.49102944600614
67,2.45165358018741
68,2.41246889570851
69,2.37359211454388
70,2.33514725871716
71,2.29726508151662
72,2.26008237155573
73,2.22374112683734
74,2.18838759832963
75,2.15417120532595
76,2.12124332800652
77,2.08975598609343
78,2.05986041620478
79,2.03170556435577
80,2.00543651388371
81,1.98119287272171
82,1.95910714723351
83,1.93930313255457
84,1.92189435137773
85,1.90698257420316
86,1.89465645410226
87,1.88499030792764
88,1.87804307357404
89,1.87385746958191
90,-inf
