"Theta [deg]","GainTotal [] - Freq='0.088GHz' Phi='90deg'"
-89,0.00379678307636323
-88,0.00385723434762229
-87,0.00399633133603186
-86,0.00427079371615665
-85,0.00475846365056874
-84,0.00555683396531473
-83,0.00678128061704694
-82,0.0085630812600256
-81,0.0110473079043186
-80,0.0143906820724348
-79,0.0187594755872124
-78,0.0243275296195045
-77,0.0312744496857992
-76,0.0397840159749097
-75,0.0500428279438373
-74,0.0622391808958934
-73,0.076562151589585
-72,0.0932008511088801
-71,0.112343787408072
-70,0.134178268100142
-69,0.158889766940197
-68,0.186661175573956
-67,0.217671865721591
-66,0.252096496021632
-65,0.290103511961185
-64,0.331853306081107
-63,0.377496028110902
-62,0.427169059748731
-61,0.480994195129378
-60,0.539074594122398
-59,0.601491599881526
-58,0.668301532923694
-57,0.739532589943895
-56,0.81518198526658
-55,0.895213475302351
-54,0.979555401034568
-53,1.06809937029556
-52,1.1606996808143
-51,1.25717355764778
-50,1.35730224603636
-49,1.4608329647221
-48,1.56748168737223
-47,1.67693668311002
-46,1.78886271338819
-45,1.90290575347176
-44,2.01869808423336
-43,2.13586358498339
-42,2.25402305134462
-41,2.37279936390324
-40,2.49182234318731
-39,2.61073314365032
-38,2.72918806260898
-37,2.84686166806662
-36,2.96344918044693
-35,3.07866807581076
-34,3.19225891051707
-33,3.30398539802849
-32,3.4136337963543
-31,3.52101168840895
-30,3.62594625654693
-29,3.72828216619523
-28,3.82787918159651
-27,3.92460963921153
-26,4.01835590155659
-25,4.10900790662671
-24,4.1964609162079
-23,4.28061355107996
-22,4.36136618321759
-21,4.43861973553522
-20,4.51227491942246
-19,4.58223192019093
-18,4.64839052143886
-17,4.71065064197545
-16,4.76891324393802
-15,4.82308155853292
-14,4.87306256672135
-13,4.91876866626614
-12,4.96011945380515
-11,4.99704355082176
-10,5.02948040521561
-9,5.05738200521809
-8,5.08071444915743
-7,5.09945932254743
-6,5.11361484263631
-5,5.12319673943653
-4,5.1282388509411
-3,5.12879341838264
-2,5.12493107475703
-1,5.1167405262639
0,5.10432793175003
1,5.08781598970717
2,5.06734274597088
3,5.04306013814632
4,5.01513229514362
5,4.98373361224732
6,4.94904662407931
7,4.91125969982855
8,4.87056458736715
9,4.82715383545337
10,4.78121812619052
11,4.732943553257
12,4.68250888508104
13,4.63008285598542
14,4.57582153220675
15,4.51986580339926
16,4.46233905353856
17,4.40334506780666
18,4.34296623382303
19,4.28126209625334
20,4.21826832315473
21,4.15399614020233
22,4.08843228500468
23,4.02153952789788
24,3.95325779777696
25,3.88350594157522
26,3.81218413386787
27,3.73917693873626
28,3.66435700952289
29,3.58758939356644
30,3.5087363886694
31,3.42766287630282
32,3.34424203394325
33,3.25836130620356
34,3.16992849249611
35,3.07887778897114
36,2.98517560567637
37,2.88882596765476
38,2.78987530241846
39,2.6884164172041
40,2.58459147871553
41,2.47859382644861
42,2.37066847847101
43,2.26111122544263
44,2.1502662538335
45,2.03852229120007
46,1.92630732287698
47,1.81408198785584
48,1.70233181889827
49,1.59155854481171
50,1.48227071808271
51,1.37497396576448
52,1.27016118321807
53,1.16830299729527
54,1.069838816995
55,0.975168765670774
56,0.884646750660105
57,0.798574875828619
58,0.717199342850031
59,0.640707921551722
60,0.569229002158986
61,0.502832176650972
62,0.441530236367122
63,0.385282421675984
64,0.333998719460177
65,0.287544977070644
66,0.245748588033872
67,0.208404505006172
68,0.175281348244933
69,0.146127401451784
70,0.120676318908952
71,0.0986524056791266
72,0.0797753734150587
73,0.0637645152250478
74,0.0503422815044403
75,0.0392372725117862
76,0.0301866910990651
77,0.0229383193432445
78,0.0172520954261914
79,0.0129013721142298
80,0.00967393626558965
81,0.00737286104344177
82,0.00581725034805734
83,0.00484292000145548
84,0.00430304406872163
85,0.00406877895040323
86,0.00402986390570152
87,0.0040951855566491
88,0.00419328641677462
89,0.00427279393189778
