"Theta [deg]","GainTotal [] - Freq='0.083GHz' Phi='0deg'"
-89,0.00357821525212998
-88,0.0137585467071657
-87,0.0307330084335251
-86,0.0545131652842889
-85,0.0851135074334248
-84,0.122549771082302
-83,0.166836810976458
-82,0.217986050503369
-81,0.276002542971775
-80,0.340881686495073
-79,0.412605644663092
-78,0.491139535733766
-77,0.576427464146727
-76,0.668388479384598
-75,0.766912558110707
-74,0.871856715527144
-73,0.983041360381645
-72,1.10024701431268
-71,1.22321151954851
-70,1.35162785868038
-69,1.48514270569431
-68,1.62335581817498
-67,1.76582036626432
-66,1.91204427446955
-65,2.06149262793572
-64,2.21359116578897
-63,2.36773085139238
-62,2.52327347390982
-61,2.67955819879591
-60,2.83590894828954
-59,2.99164245840162
-58,3.14607682802263
-57,3.29854035034729
-56,3.44838039837323
-55,3.59497212605466
-54,3.73772674568493
-53,3.8760991507007
-52,4.00959467129578
-51,4.13777477743962
-50,4.26026157903451
-49,4.37674101448669
-48,4.48696466499777
-47,4.59075018022866
-46,4.687980349333
-45,4.77860089738547
-44,4.86261712877003
-43,4.94008957423932
-42,5.01112882559246
-41,5.07588976019301
-40,5.13456536633444
-39,5.18738037976872
-38,5.23458493207725
-37,5.27644839398092
-36,5.31325357254604
-35,5.34529139220995
-34,5.37285615745825
-33,5.39624146170609
-32,5.41573677426401
-31,5.4316247068179
-30,5.44417893396469
-29,5.45366272003556
-28,5.46032798735356
-27,5.46441484949154
-26,5.46615152694401
-25,5.46575456151824
-24,5.46342924904871
-23,5.45937021692398
-22,5.45376208245812
-21,5.44678013937469
-20,5.43859103166474
-19,5.42935338598399
-18,5.41921838484783
-17,5.40833027260318
-16,5.39682679411083
-15,5.38483957203654
-14,5.37249443255981
-13,5.3599116912375
-12,5.34720641089061
-11,5.334488641984
-10,5.3218636533604
-9,5.30943215772125
-8,5.29729053226396
-7,5.28553103072477
-6,5.27424197903631
-5,5.26350794315362
-4,5.25340985454443
-3,5.24402507654899
-2,5.23542739341324
-1,5.22768690336512
0,5.22086979767831
1,5.21503800925356
2,5.21024871681704
3,5.20655369433042
4,5.20399849954199
5,5.20262150067092
6,5.2024527458684
7,5.20351268617947
8,5.20581076905075
9,5.20934392578865
10,5.21409498254911
11,5.22003103020348
12,5.2271017935453
13,5.23523804455612
14,5.24435010763101
15,5.25432650660159
16,5.26503280395286
17,5.27631068172656
18,5.28797731121179
19,5.29982505468014
20,5.31162153722147
21,5.32311012033459
22,5.33401080152168
23,5.34402155596398
24,5.35282012767059
25,5.36006626854594
26,5.36540441484802
27,5.36846678170939
28,5.36887684791773
29,5.36625319510091
30,5.36021365787685
31,5.35037973440951
32,5.33638120012503
33,5.31786086104464
34,5.29447937725568
35,5.26592008148682
36,5.2318937126614
37,5.192142979846
38,5.14644686845901
39,5.09462459831734
40,5.03653914252266
41,4.97210021780967
42,4.90126666129422
43,4.8240481160155
44,4.74050595860637
45,4.65075341702534
46,4.55495484450628
47,4.45332413743647
48,4.34612230919403
49,4.23365425822947
50,4.11626479578168
51,3.99433402530851
52,3.86827219059689
53,3.73851413118091
54,3.605513500794
55,3.46973691593867
56,3.33165820636475
57,3.19175293673534
58,3.05049335885203
59,2.90834393675241
60,2.76575756343796
61,2.62317255897737
62,2.48101050660942
63,2.33967494782724
64,2.19955092098283
65,2.06100529245872
66,1.92438779659501
67,1.79003267185375
68,1.65826075742691
69,1.5293818976305
70,1.40369749162267
71,1.28150302353652
72,1.16309041298347
73,1.04875003769436
74,0.9387722981685
75,0.833448617699198
76,0.733071798945898
77,0.637935689092489
78,0.548334138241917
79,0.464559268678446
80,0.386899104617759
81,0.315634641749848
82,0.251036462046472
83,0.193361020878873
84,0.142846749577744
85,0.0997101264870622
86,0.0641418728845591
87,0.0363034267032849
88,0.0163238369146384
89,0.0042972051342084
