"Theta [deg]","GainTotal [] - Freq='0.082GHz' Phi='90deg'"
-89,0.00182141082152096
-88,0.00200422048347177
-87,0.00232916472056985
-86,0.00282651408403279
-85,0.00353838914456301
-84,0.00451852871837371
-83,0.00583202680434063
-82,0.00755506106468045
-81,0.00977463726576173
-80,0.0125883739133026
-79,0.0161043493081664
-78,0.0204410294513118
-77,0.0257272897640552
-76,0.0321025366661389
-75,0.0397169269389579
-74,0.0487316738177241
-73,0.0593194192685158
-72,0.0716646423084639
-71,0.0859640639353023
-70,0.102427000674726
-69,0.121275611364573
-68,0.142744976004384
-67,0.167082941723959
-66,0.194549669553025
-65,0.225416817047594
-64,0.259966296220138
-63,0.298488553811362
-62,0.341280331794137
-61,0.388641880037291
-60,0.440873610040528
-59,0.498272198171616
-58,0.56112616830988
-57,0.629711006478475
-56,0.704283883044114
-55,0.785078080383593
-54,0.872297244509584
-53,0.966109596958148
-52,1.06664225726792
-51,1.17397583574333
-50,1.28813946018219
-49,1.40910639837471
-48,1.536790430216
-47,1.67104310926956
-46,1.8116520339087
-45,1.95834022335595
-44,2.11076666488965
-43,2.26852806625096
-42,2.43116181307043
-41,2.59815009624213
-40,2.76892513993306
-39,2.94287542861876
-38,3.11935280238275
-37,3.29768026476106
-36,3.47716032751866
-35,3.6570837025566
-34,3.83673814307139
-33,4.01541723427714
-32,4.19242893836546
-31,4.36710370859631
-30,4.5388020029542
-29,4.70692104795754
-28,4.87090072712344
-27,5.03022849531208
-26,5.18444324869
-25,5.33313810933202
-24,5.47596211252164
-23,5.61262081267032
-22,5.74287584961333
-21,5.86654354013774
-20,5.98349257938737
-19,6.09364095286172
-18,6.1969521718425
-17,6.29343095316746
-16,6.38311846841238
-15,6.46608728796358
-14,6.54243614251406
-13,6.61228461864042
-12,6.67576789682768
-11,6.73303163015845
-10,6.78422705043529
-9,6.8295063763078
-8,6.86901858553925
-7,6.90290560131804
-6,6.93129893087346
-5,6.95431678388127
-4,6.9720616884425
-3,6.98461861389956
-2,6.99205360244289
-1,6.99441290530871
0,6.9917226142616
1,6.98398877483264
2,6.97119796425023
3,6.95331831394805
4,6.93030095375371
5,6.90208185216291
6,6.86858402432587
7,6.82972007639882
8,6.78539505167559
9,6.73550954039978
10,6.67996301141364
11,6.61865731992077
12,6.55150034177491
13,6.47840968103743
14,6.39931639428336
15,6.31416867249781
16,6.22293541960637
17,6.12560966591976
18,6.02221175519863
19,5.91279224577086
20,5.79743446920637
21,5.67625669446162
22,5.54941385106325
23,5.41709877166975
24,5.27954292203468
25,5.1370165947662
26,4.9898285520798
27,4.83832511172119
28,4.68288867915285
29,4.52393573774782
30,4.36191431695697
31,4.19730096611095
32,4.0305972686373
33,3.86232593802566
34,3.69302654290563
35,3.52325091418439
36,3.35355829239556
37,3.18451027828996
38,3.0166656542581
39,2.85057514836261
40,2.68677621644828
41,2.52578792079075
42,2.36810598577294
43,2.21419811182944
44,2.06449962803524
45,1.9194095609174
46,1.77928719206506
47,1.6444491697274
48,1.51516722976502
49,1.39166656915408
50,1.27412490099221
51,1.16267220404331
52,1.05739116285333
53,0.958318277056768
54,0.86544560143358
55,0.778723062351155
56,0.698061282184508
57,0.623334831810648
58,0.554385822843802
59,0.4910277462648
60,0.433049462648739
61,0.380219251251351
62,0.332288830518672
63,0.288997270705176
64,0.250074729654479
65,0.215245954755472
66,0.184233506937547
67,0.156760675624815
68,0.132554066201185
69,0.111345853210721
70,0.0928757028164256
71,0.0768923766859664
72,0.0631550363218462
73,0.0514342718903855
74,0.0415128829215639
75,0.0331864400277069
76,0.0262636572573697
77,0.0205666041250214
78,0.0159307850045769
79,0.0122051116960413
80,0.0092517927878498
81,0.00694616111985595
82,0.00517645833513237
83,0.00384359328082343
84,0.00286088892834369
85,0.00215383054888389
86,0.00165982609607193
87,0.00132798809367087
88,0.00111894477520186
89,0.00100468674596679
