"Theta [deg]","GainTotal [] - Freq='0.083GHz' Phi='0deg'"
-89,0.00438537528344353
-88,0.0170118844950871
-87,0.0380056917283968
-86,0.0672933898399153
-85,0.104772842618172
-84,0.150313793487106
-83,0.203758615649512
-82,0.264923181478079
-81,0.333597826335661
-80,0.409548380636519
-79,0.492517243959923
-78,0.582224476454447
-77,0.6783688856206
-76,0.78062909075891
-75,0.888664552777294
-74,1.00211656345216
-73,1.12060919535099
-72,1.24375022110848
-71,1.37113201821304
-70,1.50233248247952
-69,1.63691597951958
-68,1.77443436834148
-67,1.91442813432137
-66,2.05642766985346
-65,2.19995473976141
-64,2.3445241649014
-63,2.48964575130544
-62,2.63482648383846
-61,2.77957299295836
-60,2.92339429119853
-59,3.06580476298336
-58,3.20632737798223
-57,3.34449708511014
-56,3.47986433221652
-55,3.61199864616118
-54,3.74049219997903
-53,3.86496328868332
-52,3.9850596332978
-51,4.10046143410572
-50,4.21088409882629
-49,4.31608057925208
-48,4.41584326039567
-47,4.5100053588433
-46,4.59844180112591
-45,4.68106956775884
-44,4.75784750342257
-43,4.82877560784888
-42,4.89389383471581
-41,4.95328043674028
-40,5.00704990383784
-39,5.05535054750874
-38,5.09836178848342
-37,5.13629120624437
-36,5.16937140858589
-35,5.19785677722273
-34,5.22202014201091
-33,5.2421494320174
-32,5.25854434686729
-31,5.27151308686017
-30,5.28136917556121
-29,5.28842840413757
-28,5.29300592273787
-27,5.29541350073277
-26,5.29595697460962
-25,5.29493389965198
-24,5.2926314191122
-23,5.28932436226629
-22,5.2852735803959
-21,5.28072452726484
-20,5.27590608797466
-19,5.27102965715982
-18,5.26628846432502
-17,5.26185714078129
-16,5.25789151917827
-15,5.25452865315957
-14,5.25188704129915
-13,5.25006703632814
-12,5.24915141784606
-11,5.24920610433119
-10,5.2502809784061
-9,5.25241079804155
-8,5.25561616573907
-7,5.25990452774289
-6,5.26527117599912
-5,5.27170022689154
-4,5.27916555271101
-3,5.28763164431993
-2,5.29705438650332
-1,5.30738173099328
0,5.31855425604498
1,5.33050560564854
2,5.34316280589353
3,5.35644646055666
4,5.37027083254611
5,5.38454382227826
6,5.39916685824643
7,5.4140347188181
8,5.42903530751349
9,5.44404940652176
10,5.45895043485851
11,5.47360423823353
12,5.48786893728397
13,5.50159485927898
14,5.51462457570935
15,5.5267930643932
16,5.5379280099739
17,5.54785025114687
18,5.55637437688044
19,5.563309467605
20,5.56845997119175
21,5.57162669790939
22,5.57260791381761
23,5.5712005085852
24,5.56720121180245
25,5.56040783170092
26,5.55062049188699
27,5.53764284519551
28,5.521283248882
29,5.50135589175816
30,5.47768187106294
31,5.4500902242711
32,5.41841892802766
33,5.38251588229749
34,5.34223990200957
35,5.29746174042897
36,5.2480651678306
37,5.19394812559876
38,5.13502396968544
39,5.07122280871917
40,5.00249293148794
41,4.92880230675102
42,4.85014012624133
43,4.7665183502651
44,4.67797320545314
45,4.58456657685799
46,4.4863872324516
47,4.38355181766527
48,4.27620556115275
49,4.164522640377
50,4.0487061665415
51,3.92898776215901
52,3.80562672029744
53,3.67890875123921
54,3.54914433884412
55,3.41666674424833
56,3.2818297077029
57,3.14500490958028
58,3.00657925831891
59,2.86695207607167
60,2.72653225208799
61,2.58573542967056
62,2.44498128540468
63,2.30469094992999
64,2.16528460857678
65,2.02717930852205
66,1.89078698749845
67,1.75651272818636
68,1.62475323278068
69,1.49589550423479
70,1.37031571457113
71,1.248378236478
72,1.13043481212103
73,1.01682383251443
74,0.907869701679281
75,0.803882261882786
76,0.705156259212215
77,0.61197083231246
78,0.524589011054363
79,0.443257215985575
80,0.368204753463192
81,0.299643305225008
82,0.237766414695343
83,0.182748975430979
84,0.134746729696111
85,0.0938957871285278
86,0.0603121747542516
87,0.0340914301771888
88,0.0153082495944465
89,0.00401620138164976
