"Theta [deg]","GainTotal [] - Freq='0.076GHz' Phi='90deg'"
-89,1.00891696263631E-005
-88,3.04907362199993E-005
-87,9.17027010047394E-005
-86,0.00023451412934833
-85,0.000515974643861701
-84,0.00100932635451255
-83,0.00180389693162695
-82,0.00300493975584778
-81,0.00473340456129558
-80,0.00712561990877358
-79,0.0103328673124776
-78,0.0145208260287116
-77,0.0198688675254368
-76,0.0265691795966994
-75,0.0348257020460907
-74,0.0448528588777472
-73,0.0568740759914629
-72,0.0711200784141398
-71,0.0878269669895178
-70,0.107234081013244
-69,0.129581660314097
-68,0.155108327479843
-67,0.184048418018836
-66,0.216629192938187
-65,0.253067974215467
-64,0.29356924867581
-63,0.338321789629459
-62,0.387495848094631
-61,0.441240466403049
-60,0.499680966399362
-59,0.562916662303962
-58,0.631018844677111
-57,0.704029076924074
-56,0.781957839589835
-55,0.864783550522424
-54,0.95245198108091
-53,1.04487608019149
-52,1.14193620948418
-51,1.24348078424115
-50,1.34932730670919
-49,1.45926377070473
-48,1.5730504095695
-47,1.6904217535828
-46,1.81108895802597
-45,1.93474235930549
-44,2.06105421391314
-43,2.18968157353024
-42,2.32026924922874
-41,2.45245281841152
-40,2.58586162976704
-39,2.72012176397053
-38,2.85485891100998
-37,2.98970112871188
-36,3.12428145114652
-35,3.25824031997186
-34,3.39122781630108
-33,3.52290567523864
-32,3.65294906972419
-31,3.78104815466853
-30,3.90690936649359
-29,4.03025647704399
-28,4.15083140438157
-27,4.26839478617686
-26,4.38272632425282
-25,4.493624911308
-24,4.60090855294207
-23,4.70441409983202
-22,4.80399680626895
-21,4.89952973227668
-20,4.99090300721278
-19,5.07802297312173
-18,5.16081122619513
-17,5.23920357452463
-16,5.31314892994271
-15,5.38260815116854
-14,5.4475528547481
-13,5.5079642094342
-12,5.56383172873009
-11,5.61515207535112
-10,5.66192789037414
-9,5.70416665886806
-8,5.74187962285378
-7,5.77508075154106
-6,5.8037857779455
-5,5.82801131020301
-4,5.84777402517161
-3,5.86308995123381
-2,5.87397384657741
-1,5.88043867862246
0,5.88249520966172
1,5.88015169317154
2,5.87341368461028
3,5.86228396983342
4,5.84676261349951
5,5.82684712900378
6,5.80253277054306
7,5.77381294687694
8,5.74067975520165
9,5.70312463229198
10,5.66113911870036
11,5.61471573033742
12,5.56384893021266
13,5.50853619150538
14,5.44877914149179
15,5.38458477420188
16,5.31596671805349
17,5.24294654314647
18,5.16555509143404
19,5.08383381166002
20,4.99783607979539
21,4.90762848476196
22,4.8132920585247
23,4.71492342919552
24,4.61263587564117
25,4.5065602622413
26,4.39684583291032
27,4.28366084428048
28,4.16719301904247
29,4.04764980184677
30,3.92525840187494
31,3.80026560818277
32,3.67293736618569
33,3.54355810618928
34,3.41242981765518
35,3.2798708659271
36,3.14621455141721
37,3.0118074147629
38,2.87700729520074
39,2.74218115335379
40,2.60770267377029
41,2.4739496668513
42,2.34130129421408
43,2.21013514598748
44,2.0808242029377
45,1.95373372056396
46,1.82921807625387
47,1.70761762409365
48,1.58925560482701
49,1.47443516057415
50,1.36343650509246
51,1.2565143004239
52,1.15389528959808
53,1.05577623254479
54,0.96232218846001
55,0.873665182563043
56,0.789903288537946
57,0.711100150089494
58,0.637284956146877
59,0.568452874559255
60,0.504565938939854
61,0.44555437296297
62,0.391318326259956
63,0.341729986463802
64,0.296636023276034
65,0.255860313005748
66,0.219206886145482
67,0.186463036429189
68,0.157402527618506
69,0.131788834058784
70,0.109378352825058
71,0.0899235289454332
72,0.0731758405711324
73,0.0588885978153276
74,0.0468195170071111
75,0.0367330409623415
76,0.0284023851965166
77,0.0216112994283585
78,0.0161555428911026
79,0.0118440805545473
80,0.00850001507922775
81,0.00596127594049258
82,0.00408109249838525
83,0.00272828173302591
84,0.00178738385822422
85,0.001158680067761
86,0.000758126308411206
87,0.000517235302929561
88,0.000382936190570179
89,0.000317437263958135
