"Theta [deg]","GainTotal [] - Freq='0.07GHz' Phi='0deg'"
-89,0.00385914286321863
-88,0.0147486950780819
-87,0.0328432491741425
-86,0.0580628539446499
-85,0.090296682562016
-84,0.129404115860191
-83,0.175216106945174
-82,0.227536806700575
-81,0.286145425970675
-80,0.350798306852264
-79,0.421231172668989
-78,0.497161523889576
-77,0.578291145525194
-76,0.664308690431575
-75,0.754892302466326
-74,0.849712243616493
-73,0.948433490008372
-72,1.0507182631201
-71,1.15622846450449
-70,1.26462798484919
-69,1.3755848611976
-68,1.48877325955967
-67,1.60387526388393
-66,1.72058245635783
-65,1.83859727817003
-64,1.95763416411598
-63,2.07742044867167
-62,2.19769704531304
-61,2.3182189048396
-60,2.43875526219469
-59,2.55908968469245
-58,2.67901993760391
-57,2.79835768566975
-56,2.91692805125496
-55,3.03456905151011
-54,3.1511309380344
-53,3.26647546313755
-52,3.38047509687047
-51,3.49301221854919
-50,3.60397830555086
-49,3.71327314074513
-48,3.82080405807499
-47,3.92648524356446
-46,4.03023710646152
-45,4.13198573238183
-44,4.23166242727294
-43,4.32920335784054
-42,4.42454929084612
-41,4.5176454304793
-40,4.60844134990803
-39,4.69689101019498
-38,4.78295285711514
-37,4.86658998408483
-36,4.94777034747944
-35,5.02646701912297
-34,5.10265845971517
-33,5.1763287964436
-32,5.24746808801349
-31,5.3160725608101
-30,5.38214480085868
-29,5.44569388762777
-28,5.50673545747661
-27,5.56529168661414
-26,5.62139118574002
-25,5.67506880100084
-24,5.72636531843483
-23,5.77532707161768
-22,5.82200545468487
-21,5.86645634522362
-20,5.90873944364325
-19,5.94891753749667
-18,5.98705570080471
-17,6.02322043970606
-16,6.05747879670955
-15,6.08989742646493
-14,6.12054165630671
-13,6.14947454488634
-12,6.17675595201943
-11,6.20244163247365
-10,6.22658236584557
-9,6.24922313396091
-8,6.27040235641813
-7,6.29015119401563
-6,6.30849292888611
-5,6.32544242923256
-4,6.34100570563511
-3,6.35517956498791
-2,6.36795136723262
-1,6.37929888917755
0,6.38919029881967
1,6.397584242707
2,6.40443004797431
3,6.4096680397356
4,6.41322997350424
5,6.41503958121661
6,6.41501322824347
7,6.41306067747434
8,6.40908595515184
9,6.40298831161675
10,6.39466326851771
11,6.38400374236075
12,6.37090123255983
13,6.35524706044034
14,6.33693364399613
15,6.31585579166643
16,6.29191199704596
17,6.26500571533942
18,6.23504660158864
19,6.20195169030227
20,6.1656464961649
21,6.12606601604327
22,6.08315561357889
23,6.03687176927778
24,5.98718268118025
25,5.93406870389575
26,5.8775226169767
27,5.8175497172172
28,5.75416773341059
29,5.68740656628061
30,5.61730786059424
31,5.54392442073934
32,5.46731948517011
33,5.38756587895082
34,5.30474506703012
35,5.21894613373466
36,5.13026471617406
37,5.03880192071724
38,4.94466325237021
39,4.84795758672552
40,4.74879621315673
41,4.64729197612027
42,4.54355853885068
43,4.4377097904652
44,4.32985941362489
45,4.22012062554085
46,4.10860610038896
47,3.99542807623502
48,3.88069864450754
49,3.76453021502089
50,3.64703614467577
51,3.52833151336702
52,3.40853402642312
53,3.28776501918535
54,3.16615053619456
55,3.04382245496023
56,2.92091962249845
57,2.79758897178137
58,2.67398658496742
59,2.55027867078504
60,2.42664242471567
61,2.30326674263588
62,2.18035276129089
63,2.05811420232028
64,1.93677750046323
65,1.81658170094227
66,1.69777811575342
67,1.58062973356001
68,1.46541038297126
69,1.35240365405627
70,1.24190158787128
71,1.13420314843907
72,1.02961249590186
73,0.928437083372473
74,0.830985603252539
75,0.737565811408778
76,0.648482259561692
77,0.564033967529581
78,0.484512067592707
79,0.410197453227184
80,0.341358463853537
81,0.278248636114067
82,0.221104550610474
83,0.170143801078853
84,0.125563110735466
85,0.0875366180727708
86,0.0562143517934739
87,0.0317209119031577
88,0.0141543712890719
89,0.0035854094299874
