"Theta [deg]","GainTotal [] - Freq='0.075GHz' Phi='0deg'"
-89,0.00419393863813928
-88,0.0158239962246981
-87,0.0351475483790065
-86,0.0620770364277277
-85,0.0964910724308208
-84,0.138235607992699
-83,0.187125403777397
-82,0.242945775818972
-81,0.305454590501012
-80,0.374384476477892
-79,0.449445218900897
-78,0.530326299152571
-77,0.616699541921858
-76,0.708221830889324
-75,0.804537854533536
-74,0.905282844592555
-73,1.01008527147342
-72,1.11856946333314
-71,1.23035811857481
-70,1.34507468501471
-69,1.46234558287258
-68,1.5818022529012
-67,1.70308301528393
-66,1.82583472927232
-65,1.94971424779858
-64,2.07438966537706
-63,2.19954136141754
-62,2.32486284453832
-61,2.45006140653537
-60,2.57485859729944
-59,2.6989905341586
-58,2.82220806085927
-57,2.94427677269603
-56,3.06497692518405
-55,3.18410324416767
-54,3.30146465540803
-53,3.41688395152428
-52,3.53019741370713
-51,3.64125440490324
-50,3.74991695020372
-49,3.85605931896991
-48,3.95956762180476
-47,4.06033943383051
-46,4.15828345387316
-45,4.25331920708911
-44,4.34537679632055
-43,4.43439670506165
-42,4.52032965240134
-41,4.6031364977359
-40,4.68278819048534
-39,4.75926575758306
-38,4.83256031922633
-37,4.90267312136769
-36,4.96961557178355
-35,5.03340926535785
-34,5.09408598353108
-33,5.15168765273758
-32,5.20626624710976
-31,5.25788362176484
-30,5.30661126457818
-29,5.35252995643096
-28,5.39572933241797
-27,5.43630733931271
-26,5.47436958759749
-25,5.51002859944984
-24,5.5434029571103
-23,5.57461635891891
-22,5.60379659288966
-21,5.63107443990331
-20,5.65658252036719
-19,5.68045409946957
-18,5.70282186692482
-17,5.72381670736538
-16,5.74356647731618
-15,5.7621948040312
-14,5.77981992044655
-13,5.79655354918368
-12,5.81249984700613
-11,5.82775441947931
-10,5.84240341389212
-9,5.85652269685053
-8,5.87017712141959
-7,5.88341988732851
-6,5.89629199661155
-5,5.90882180616238
-4,5.9210246780471
-3,5.93290272804733
-2,5.9444446727726
-1,5.95562577575743
0,5.96640789319793
1,5.97673962032983
2,5.98655653983945
3,5.9957815740616
4,6.00432544298127
5,6.01208723014734
6,6.01895505845801
7,6.02480687733086
8,6.02951136197475
9,6.03292892430383
10,6.03491283345905
11,6.03531044193468
12,6.03396451097406
13,6.03071462625158
14,6.02539869197329
15,6.01785448850507
16,6.00792127559561
17,5.99544142033953
18,5.98026202637188
19,5.96223653855531
20,5.94122629576705
21,5.91710200345664
22,5.88974509755007
23,5.85904897211527
24,5.82492004503699
25,5.78727863879093
26,5.74605965722723
27,5.70121304398987
28,5.65270401368218
29,5.60051305296327
30,5.544635695212
31,5.48508207897922
32,5.421876306904
33,5.3550556278288
34,5.28466947025467
35,5.21077835979812
36,5.1334527567503
37,5.05277185204769
38,4.96882236085106
39,4.88169735246418
40,4.79149515353697
41,4.6983183584793
42,4.60227297690293
43,4.50346774289468
44,4.40201360521819
45,4.29802341137592
46,4.19161179207299
47,4.08289524623543
48,3.9719924205543
49,3.85902457173115
50,3.74411619433478
51,3.62739579255241
52,3.5089967702049
53,3.38905841023847
54,3.2677269125202
55,3.14515645715009
56,3.02151025963998
57,2.89696158417631
58,2.77169468175071
59,2.64590562118291
60,2.51980298294414
61,2.3936083881891
62,2.26755683848542
63,2.14189684535232
64,2.01689033283149
65,1.89281230084696
66,1.76995024198094
67,1.64860330939666
68,1.52908123885674
69,1.4117030329803
70,1.29679542091197
71,1.18469111129334
72,1.07572686069313
73,0.970241383338497
74,0.868573130991589
75,0.771057974055426
76,0.678026816425904
77,0.589803177224029
78,0.50670077237001
79,0.42902112805899
80,0.357051256655576
81,0.291061423452389
82,0.231303030262865
83,0.17800663907319
84,0.131380156092939
85,0.0916071936393677
86,0.0588456244696146
87,0.033226340519425
88,0.0148522255713708
89,0.00379734918721398
