"Theta [deg]","GainTotal [] - Freq='0.073GHz' Phi='0deg'"
-89,0.00305404767607153
-88,0.0117537498152243
-87,0.0262378494460889
-86,0.0464843786354723
-85,0.0724623838659611
-84,0.104131737401135
-83,0.141442908944189
-82,0.184336707701875
-81,0.232744006637442
-80,0.286585462043075
-79,0.345771242542855
-78,0.410200782219137
-77,0.479762572714998
-76,0.554334008890642
-75,0.633781301900402
-74,0.717959472419325
-73,0.806712435205935
-72,0.899873184274293
-71,0.99726408570937
-70,1.09869728265095
-69,1.20397521425946
-68,1.31289124763677
-67,1.42523041878766
-66,1.54077027585938
-65,1.65928181517492
-64,1.78053049806674
-63,1.90427733430442
-62,2.03028001606543
-61,2.1582940849883
-60,2.28807411392132
-59,2.41937488457225
-58,2.55195254239203
-57,2.6855657106861
-56,2.81997654711796
-55,2.95495172741223
-54,3.09026334311867
-53,3.22568970269367
-52,3.36101602780396
-51,3.49603503956673
-50,3.63054743231043
-49,3.76436223527341
-48,3.89729706535529
-47,4.02917827651235
-46,4.15984101356322
-45,4.28912917998209
-44,4.41689533065629
-43,4.54300050154055
-42,4.66731398864246
-41,4.78971308882507
-40,4.91008281453736
-39,5.02831559381851
-38,5.14431096581728
-37,5.25797528068548
-36,5.36922141111057
-35,5.47796848102158
-34,5.58414161520546
-33,5.68767171178197
-32,5.78849523776892
-31,5.88655404638842
-30,5.98179521336885
-29,6.07417088832835
-28,6.16363815641479
-27,6.2501589047422
-26,6.33369968781274
-25,6.41423158604266
-24,6.49173005170743
-23,6.56617473706281
-22,6.63754930005557
-21,6.70584118387624
-20,6.77104136758611
-19,6.83314408613311
-18,6.89214651921271
-17,6.94804844959346
-16,7.0008518926713
-15,7.0505607001118
-14,7.09718014145259
-13,7.14071646844636
-12,7.1811764677078
-11,7.21856700787223
-10,7.2528945879684
-9,7.28416489405149
-8,7.3123823713312
-7,7.33754981906952
-6,7.35966801541832
-5,7.37873537912685
-4,7.39474767468365
-3,7.40769776697737
-2,7.41757543097808
-1,7.4243672212667
0,7.42805640548755
1,7.42862296497875
2,7.42604366495952
3,7.42029219573284
4,7.41133938540847
5,7.3991534836745
6,7.38370051515782
7,7.36494469992453
8,7.34284893769244
9,7.31737535136931
10,7.2884858846039
11,7.25614294715345
12,7.22031010104054
13,7.18095277970689
14,7.13803903168018
15,7.09154027966499
16,7.04143208545783
17,6.9876949106817
18,6.93031486304542
19,6.86928441766702
20,6.80460310296913
21,6.73627814076548
22,6.66432503042168
23,6.58876806739796
24,6.50964078707557
25,6.42698632553848
26,6.34085768993277
27,6.25131793216166
28,6.15844022099241
29,6.06230780914901
30,5.96301389363021
31,5.86066136931103
32,5.75536247783286
33,5.647238355832
34,5.53641848866018
35,5.42304007786507
36,5.3072473327713
37,5.18919069847028
38,5.06902603432736
39,4.94691375867763
40,4.82301797664117
41,4.69750560888021
42,4.57054553958687
43,4.44230780198373
44,4.31296281910574
45,4.18268071659329
46,4.05163072266199
47,3.91998066834561
48,3.7878965985754
49,3.65554250172266
50,3.52308016197194
51,3.39066913540678
52,3.2584668470861
53,3.12662880278704
54,2.99530890560792
55,2.86465986438449
56,2.73483367798355
57,2.60598217710098
58,2.47825760328746
59,2.35181320361668
60,2.22680381873506
61,2.10338644200334
62,1.98172072804673
63,1.86196943023885
64,1.74429874839984
65,1.62887857022027
66,1.51588259254548
67,1.40548831157853
68,1.2978768741892
69,1.1932327857585
70,1.09174347325549
71,0.993598705456238
72,0.898989875305191
73,0.808109152330295
74,0.721148515708429
75,0.63829868100388
76,0.559747935742876
77,0.485680900824393
78,0.416277236287896
79,0.35171031115313
80,0.29214585790707
81,0.237740632731585
82,0.188641102735126
83,0.144982181266665
84,0.10688603184558
85,0.0744609603359926
86,0.047800413731776
87,0.0269821023093255
88,0.0120672599677712
89,0.00310005533829552
