"Theta [deg]","GainTotal [] - Freq='0.077GHz' Phi='0deg'"
-89,0.00294972830967901
-88,0.0113940852322955
-87,0.0254643888786737
-86,0.0451560969027116
-85,0.0704621790337295
-84,0.101372465078254
-83,0.137872833480567
-82,0.179944259924895
-81,0.227561749074366
-80,0.28069317572868
-79,0.339298064372109
-78,0.403326338207732
-77,0.472717070270287
-76,0.547397270022962
-75,0.627280738926894
-74,0.712267027791776
-73,0.802240527252184
-72,0.897069720464671
-71,0.996606624103256
-70,1.10068643998545
-69,1.20912743525168
-68,1.32173106403656
-67,1.43828233812372
-66,1.55855044830342
-65,1.68228963220872
-64,1.80924027846267
-63,1.93913025120607
-62,2.07167641367546
-61,2.20658632464141
-60,2.34356007736322
-59,2.48229224741018
-58,2.6224739133582
-57,2.76379471307308
-56,2.90594489808169
-55,3.0486173494078
-54,3.19150952016985
-53,3.33432527311896
-52,3.47677658501731
-51,3.61858509416842
-50,3.75948347233397
-49,3.89921660751778
-48,4.03754258946415
-47,4.17423349501184
-46,4.30907597547858
-45,4.44187165285984
-44,4.57243733566784
-43,4.70060506860288
-42,4.82622203286342
-41,4.9491503157234
-40,5.06926656902955
-39,5.18646157652674
-38,5.30063974946264
-37,5.41171856883724
-36,5.51962799105069
-35,5.62430983167946
-34,5.72571713980018
-33,5.82381357280659
-32,5.91857277914716
-31,6.00997779396168
-30,6.09802045030931
-29,6.18270080664032
-28,6.26402658943062
-27,6.34201264851313
-26,6.41668042162687
-25,6.48805740406571
-24,6.55617661903009
-23,6.62107608434028
-22,6.68279827151628
-21,6.74138955382107
-20,6.7968996406453
-19,6.84938099652792
-18,6.89888824410317
-17,6.94547755128914
-16,6.9892060040408
-15,7.03013096694316
-14,7.06830943478793
-13,7.10379737903748
-12,7.13664909372203
-11,7.16691654583218
-10,7.19464873566298
-9,7.21989107284328
-8,7.24268477395765
-7,7.26306628774932
-6,7.28106675389847
-5,7.29671150131218
-4,7.31001959175553
-3,7.3210034145061
-2,7.32966833753458
-1,7.3360124205069
0,7.34002619466728
1,7.34169251439751
2,7.34098648494792
3,7.33787547049598
4,7.33231918629994
5,7.32426987826904
6,7.31367259276131
7,7.30046553883482
8,7.28458054451383
9,7.26594360787923
10,7.24447554295092
11,7.22009271939287
12,7.19270789404067
13,7.16223113112377
14,7.128570806835
15,7.09163469259036
16,7.05133110992993
17,7.00757014854595
18,6.96026493739933
19,6.90933295732065
20,6.85469738190883
21,6.79628843197192
22,6.73404472723761
23,6.66791461764094
24,6.59785747522929
25,6.5238449266675
26,6.445862005549
27,6.36390820328934
28,6.27799839737065
29,6.18816363618546
30,6.09445176075997
31,5.99692784526898
32,5.8956744405223
33,5.79079160751769
34,5.6823967317064
35,5.57062411276274
36,5.45562432931684
37,5.33756338319677
38,5.21662163309753
39,5.09299253309006
40,4.96688119681785
41,4.83850281340376
42,4.70808094579786
43,4.57584574633369
44,4.44203212743499
45,4.3068779275579
46,4.17062211343077
47,4.03350305937183
48,3.89575694287973
49,3.75761629281319
50,3.61930872236787
51,3.48105587384104
52,3.3430725960147
53,3.2055663680978
54,3.06873697679146
55,2.93277644544224
56,2.79786920670145
57,2.66419250288061
58,2.53191699153513
59,2.40120752794113
60,2.2722240912365
61,2.14512281721275
62,2.02005709815827
63,1.8971787088016
64,1.77663891727669
65,1.65858954107738
66,1.54318391009603
67,1.43057770193574
68,1.32092961861155
69,1.21440187836803
70,1.11116050149128
71,1.01137537453925
72,0.915220083218692
73,0.82287151007547
74,0.734509199120842
75,0.650314495384777
76,0.570469473067341
77,0.495155671355125
78,0.424552661985227
79,0.358836477177085
80,0.298177930512665
81,0.242740866626723
82,0.19268037807123
83,0.148141029347191
84,0.109255128770517
85,0.0761410884918561
86,0.0489019115843698
87,0.0276238426405265
88,0.0123752148079817
89,0.00320552171359439
