"Theta [deg]","GainTotal [] - Freq='0.065GHz' Phi='90deg'"
-89,6.74474066750918E-005
-88,4.84575916039521E-005
-87,4.45090345588448E-005
-86,9.70137790929404E-005
-85,0.000263674089673405
-84,0.000618206099659732
-83,0.0012499811216623
-82,0.00226358235440758
-81,0.00377827450702347
-80,0.00592738380912676
-79,0.00885758600059101
-78,0.0127281002102741
-77,0.0177097871442226
-76,0.0239841507106159
-75,0.0317422431041901
-74,0.0411834744439308
-73,0.0525143292850343
-72,0.0659469936843608
-71,0.0816978979574107
-70,0.0999861817894297
-69,0.121032089915244
-68,0.145055308121059
-67,0.172273250804791
-66,0.202899312717508
-65,0.237141098756747
-64,0.275198646754845
-63,0.317262659067959
-62,0.363512759395185
-61,0.414115791619107
-60,0.469224177543086
-59,0.528974350197785
-58,0.593485278898769
-57,0.662857101465033
-56,0.737169877969035
-55,0.816482479103205
-54,0.900831620743063
-53,0.990231054595346
-52,1.08467092297711
-51,1.18411728381807
-50,1.28851180995362
-49,1.39777166472101
-48,1.511789553826
-47,1.63043395144827
-46,1.75354949663685
-45,1.88095755424032
-44,2.01245693294764
-43,2.14782475150458
-42,2.28681744283343
-41,2.42917188463266
-40,2.57460664407316
-39,2.72282332344288
-38,2.8735079930208
-37,3.02633269707902
-36,3.18095701871413
-35,3.3370296891853
-34,3.4941902275787
-33,3.65207059691474
-32,3.81029686325422
-31,3.9684908449317
-30,4.12627173973508
-29,4.28325771864981
-28,4.43906747567965
-27,4.59332172423251
-26,4.74564463160616
-25,4.89566518421126
-24,5.0430184773151
-23,5.18734692426445
-22,5.32830138133679
-21,5.46554218556007
-20,5.59874010401975
-19,5.72757719432219
-18,5.85174757699243
-17,5.97095812163865
-16,6.08492904970145
-15,6.19339445751244
-14,6.29610276420208
-13,6.39281708971158
-12,6.4833155687688
-11,6.56739160717818
-10,6.64485408714097
-9,6.71552752856337
-8,6.7792522134213
-7,6.83588428023115
-6,6.8852957955257
-5,6.92737480895467
-4,6.96202539822319
-3,6.98916770955255
-2,7.00873799870239
-1,7.02068867683827
0,7.0249883646728
1,7.02162195736287
2,7.01059070162118
3,6.9919122854131
4,6.9656209394741
5,6.93176754871861
6,6.89041977043627
7,6.8416621550098
8,6.78559626376238
9,6.72234077747738
10,6.65203158815485
11,6.57482186570471
12,6.49088209055172
13,6.40040004256821
14,6.30358073638148
15,6.20064629294484
16,6.09183573733277
17,5.9774047130363
18,5.85762510360199
19,5.73278455328047
20,5.60318587942495
21,5.46914637069406
22,5.33099696665111
23,5.18908131608569
24,5.04375471328319
25,4.89538291349351
26,4.74434083095911
27,4.59101112500526
28,4.43578268182297
29,4.27904900163325
30,4.12120650286084
31,3.96265275671578
32,3.80378466713733
33,3.64499661235833
34,3.48667856536504
35,3.32921421123543
36,3.17297907972087
37,3.01833871148798
38,2.86564687616107
39,2.71524385971501
40,2.56745483788407
41,2.42258835110219
42,2.28093489510969
43,2.14276563978884
44,2.00833128706812
45,1.87786107690628
46,1.75156194847516
47,1.62961786174704
48,1.51218928279647
49,1.39941283428353
50,1.29140111082602
51,1.18824265731689
52,1.09000210672126
53,0.996720472508512
54,0.908415589648689
55,0.825082697033405
56,0.746695153269614
57,0.673205277035915
58,0.604545302579043
59,0.540628440453415
60,0.48135003325811
61,0.426588795891668
62,0.376208129713381
63,0.330057499958381
64,0.287973865791692
65,0.249783152493441
66,0.215301755434979
67,0.184338065726592
68,0.156694007686218
69,0.132166578590709
70,0.110549381523722
71,0.0916341425248298
72,0.0752122036710254
73,0.0610759841825513
74,0.0490204021375202
75,0.0388442499010522
76,0.0303515169204102
77,0.0233526541024758
78,0.0176657745671642
79,0.0131177861521265
80,0.00954545162144298
81,0.00679637309448968
82,0.00472989775107204
83,0.00321794237596797
84,0.00214573477178321
85,0.00141247048654601
86,0.000931883666729083
87,0.000632731154698079
88,0.000459189201858668
89,0.000371162367648236
