"Theta [deg]","GainTotal [] - Freq='0.088GHz' Phi='90deg'"
-89,0.00415705790296359
-88,0.00425493099673528
-87,0.00443839999106728
-86,0.00473778693182373
-85,0.00519514650628533
-84,0.00586392579713564
-83,0.0068086003874965
-82,0.00810433308541151
-81,0.00983670254234443
-80,0.0121015453264297
-79,0.0150049464613594
-78,0.0186634002741611
-77,0.0232041461784949
-76,0.0287656636702842
-75,0.0354982885656885
-74,0.0435648898721144
-73,0.0531415253461764
-72,0.0644179755421051
-71,0.0775980427416991
-70,0.0928994941686172
-69,0.110553529609974
-68,0.13080366285132
-67,0.153903924494056
-66,0.18011632046976
-65,0.209707514948021
-64,0.242944746772472
-63,0.280091032905587
-62,0.321399758017755
-61,0.367108793434669
-60,0.417434328184015
-59,0.472564627010671
-58,0.532653952459872
-57,0.597816898511269
-56,0.668123380554097
-55,0.743594510331426
-54,0.824199555347302
-53,0.909854141498331
-52,1.00041980752628
-51,1.09570496310069
-50,1.1954672421854
-49,1.29941718328733
-48,1.40722311166203
-47,1.51851704871165
-46,1.6329014333215
-45,1.74995641074127
-44,1.86924742805338
-43,1.99033287168267
-42,2.11277149138102
-41,2.23612937552049
-40,2.3599862725941
-39,2.48394109134928
-38,2.60761645449065
-37,2.73066222582972
-36,2.8527579756621
-35,2.97361439179226
-34,3.09297368213029
-33,3.21060904771993
-32,3.32632333145489
-31,3.43994696710992
-30,3.5513353655961
-29,3.66036588087235
-28,3.76693449733673
-27,3.87095237463289
-26,3.97234237562816
-25,4.07103568989625
-24,4.16696864940472
-23,4.26007981623519
-22,4.35030740491231
-21,4.43758708501442
-20,4.52185019376308
-19,4.60302237367153
-18,4.68102263736063
-17,4.75576285048515
-16,4.82714761440067
-15,4.89507452269934
-14,4.9594347599358
-13,5.02011400658956
-12,5.07699361136513
-11,5.12995199010574
-10,5.17886620966857
-9,5.22361371487603
-8,5.26407415692758
-7,5.30013128227201
-6,5.33167484177386
-5,5.35860248096961
-4,5.38082157325251
-3,5.39825095893696
-2,5.41082255436611
-1,5.41848279660028
0,5.4211938908547
1,5.41893482985613
2,5.41170215678831
3,5.39951044662807
4,5.3823924845613
5,5.3603991249144
6,5.33359881971785
7,5.30207681266193
8,5.26593400179351
9,5.22528548275355
10,5.18025879352544
11,5.13099189134424
12,5.07763090233158
13,5.02032769424283
14,4.95923733206174
15,4.89451548464581
16,4.82631585778381
17,4.75478773445233
18,4.68007370634736
19,4.6023076815603
20,4.52161325126517
21,4.43810249326358
22,4.35187528206658
23,4.26301916385028
24,4.17160984018996
25,4.07771228715656
26,3.98138251647008
27,3.88266996338979
28,3.78162046244259
29,3.67827974763154
30,3.57269738922034
31,3.46493105545942
32,3.35505096569837
33,3.24314438228213
34,3.12931997355881
35,3.01371187033285
36,2.89648323421711
37,2.7778291594783
38,2.6579787408318
39,2.53719615863243
40,2.41578066006271
41,2.2940653498326
42,2.17241474567625
43,2.05122110114861
44,1.93089954898602
45,1.81188217026066
46,1.69461114507353
47,1.57953118675944
48,1.46708150070047
49,1.35768753825608
50,1.25175283383651
51,1.14965121720973
52,1.05171968295181
53,0.958252174620262
54,0.869494503761491
55,0.785640575152769
56,0.706830032395234
57,0.633147375383278
58,0.56462253690809
59,0.501232843443188
60,0.442906228570413
61,0.389525519670104
62,0.340933581904434
63,0.29693907984025
64,0.257322607053673
65,0.221842937574144
66,0.19024316903274
67,0.162256554101301
68,0.137611851891418
69,0.116038071699016
70,0.0972685249505868
71,0.0810441446088574
72,0.0671160720553695
73,0.055247547414997
74,0.0452151687667167
75,0.0368096076164722
76,0.0298358819042577
77,0.0241132937556326
78,0.0194751377464635
79,0.015768277619312
80,0.0128526764663496
81,0.0106009488634253
82,0.00889798486619187
83,0.00764067669554239
84,0.00673776075636481
85,0.00610977156078359
86,0.00568909111617022
87,0.00542006804373861
88,0.0052591754541103
89,0.00517517544445438
