"Theta [deg]","GainTotal [] - Freq='0.081GHz' Phi='0deg'"
-89,0.00308607329503544
-88,0.0122847775262246
-87,0.0276382514794078
-86,0.0491803667493895
-85,0.0769564775552997
-84,0.111021378361959
-83,0.15143671319906
-82,0.198267866222378
-81,0.251580372710022
-80,0.311435900668994
-79,0.377887865363476
-78,0.450976752027726
-77,0.530725235306163
-76,0.617133196956883
-75,0.71017275535171
-74,0.809783430537907
-73,0.915867576313216
-72,1.02828621516274
-71,1.14685541235471
-70,1.27134332146771
-69,1.40146802477515
-68,1.53689627810826
-67,1.67724325115443
-66,1.82207333097446
-65,1.97090202943735
-64,2.12319900510527
-63,2.27839217788844
-62,2.43587288172259
-61,2.59500196789747
-60,2.75511674082165
-59,2.91553858025575
-58,3.07558108059636
-57,3.23455851969406
-56,3.39179445776838
-55,3.54663026179901
-54,3.6984333525824
-53,3.84660498038963
-52,3.99058735047162
-51,4.12986994086809
-50,4.2639948811628
-49,4.39256129086269
-48,4.51522850868363
-47,4.63171817784703
-46,4.7418151861612
-45,4.84536749187169
-44,4.94228489582503
-43,5.0325368463856
-42,5.11614938497154
-41,5.19320135647571
-40,5.26382001990816
-39,5.32817620029122
-38,5.38647912335497
-37,5.43897107033013
-36,5.48592198171208
-35,5.52762412700148
-34,5.5643869429344
-33,5.59653212645539
-32,5.6243890515136
-31,5.64829056147556
-30,5.6685691722638
-29,5.68555370584716
-28,5.69956635989279
-27,5.71092020756185
-26,5.71991711177111
-25,5.72684603079296
-24,5.73198168675224
-23,5.73558356522514
-22,5.73789521250638
-21,5.73914379688849
-20,5.7395399011751
-19,5.73927751530802
-18,5.73853420012946
-17,5.73747139566267
-16,5.73623484966117
-15,5.73495514438467
-14,5.73374830149968
-13,5.73271644661665
-12,5.73194851625109
-11,5.73152099096171
-10,5.7314986391296
-9,5.73193525637763
-8,5.73287438607653
-7,5.73435000683621
-6,5.73638717342606
-5,5.73900259828518
-4,5.74220516173801
-3,5.74599634027195
-2,5.75037054379122
-1,5.75531535464881
0,5.76081166346877
1,5.76683369928101
2,5.77334895425928
3,5.78031800632627
4,5.78769424599666
5,5.79542351699198
6,5.80344368328865
7,5.81168413825577
8,5.82006527430265
9,5.82849793388181
10,5.83688286468451
11,5.84511020332672
12,5.85305901267263
13,5.86059689811392
14,5.86757972757072
15,5.87385147868509
16,5.87924423464932
17,5.88357834739074
18,5.88666278349827
19,5.88829566442771
20,5.88826500830022
21,5.88634967616934
22,5.88232052114836
23,5.8759417344414
24,5.86697237827832
25,5.85516809216724
26,5.84028295587087
27,5.82207149016086
28,5.80029077473815
29,5.77470266169941
30,5.74507606249947
31,5.71118928637605
32,5.67283240849421
33,5.62980964643847
34,5.58194172392617
35,5.52906820054917
36,5.47104974581966
37,5.40777033470672
38,5.33913934018256
39,5.26509349611857
40,5.18559870134003
41,5.10065163300839
42,5.01028113507315
43,4.91454934569208
44,4.81355252665867
45,4.7074215583843
46,4.59632206620189
47,4.48045414794423
48,4.3600516790449
49,4.23538117981215
50,4.1067402398769
51,3.97445550679522
52,3.83888025891931
53,3.70039159633588
54,3.55938729720752
55,3.41628239948997
56,3.27150557898395
57,3.12549540331666
58,2.97869654713845
59,2.8315560561229
60,2.68451974601446
61,2.53802881793071
62,2.39251676256777
63,2.24840661425826
64,2.10610860156554
65,1.96601822498604
66,1.82851477520682
67,1.69396028810779
68,1.56269891618822
69,1.43505668115537
70,1.31134155975274
71,1.1918438450925
72,1.07683671917935
73,0.966576969168234
74,0.861305780184687
75,0.761249541067791
76,0.666620605819078
77,0.577617962365639
78,0.494427770880849
79,0.417223745696898
80,0.346167367110572
81,0.281407921462734
82,0.223082379144237
83,0.171315130103984
84,0.126217604563254
85,0.0878878126421281
86,0.0564098402689533
87,0.0318533399873172
88,0.0142730541341164
89,0.0037084044891331
